L1,L2,NWND,Cluster_Number
src,spa,5.42434836591106,1
spa,src,5.42434836591108,1
ve2,dlm,5.43016286624468,1
dlm,ve2,5.43016286624469,1
fur,sc2,5.43036619474537,1
sc2,fur,5.43036619474538,1
eg3,ca1,5.43253089769437,1
ca1,eg3,5.43253089769438,1
eg3,ro2,5.43403069001178,1
ro2,eg3,5.43403069001179,1
ito,pm5,5.43435890218054,1
pm5,ito,5.43435890218056,1
ro2,eg2,5.43535577760702,1
eg2,ro2,5.43535577760702,1
qbb,sc2,5.4385297508036,1
sc2,qbb,5.43852975080362,1
sc4,pm1,5.44046316076141,1
pm1,sc4,5.44046316076141,1
pm2,ro3,5.4429431331654,1
ro3,pm2,5.44294313316541,1
pr2,pm4,5.4436250552615,1
li3,pr1,5.44484236090802,1
pr1,li3,5.44484236090803,1
pm1,ro2,5.44623344613515,1
ro2,pm1,5.44623344613516,1
ro4,ca1,5.44733648244421,1
ca1,ro4,5.44733648244421,1
pr1,ll2,5.44853865577029,1
ll2,pr1,5.44853865577029,1
glg,pm4,5.45183866103278,1
pm1,ro4,5.45592727167924,1
ro4,pm1,5.45592727167925,1
ro1,pm4,5.45805090211376,1
sc4,pm5,5.45905702364583,1
pm5,sc4,5.45905702364586,1
li1,ca5,5.45962572438089,1
ca5,li1,5.45962572438089,1
eg3,ca3,5.45990697981799,1
ca3,eg3,5.459906979818,1
eg4,ro3,5.46111047462301,1
ro3,eg4,5.46111047462302,1
ve2,nea,5.46407021354159,1
nea,ve2,5.46407021354159,1
lm2,ro1,5.46416192783761,1
ro1,lm2,5.46416192783762,1
ve2,ro3,5.46556798657219,1
ro3,ve2,5.46556798657221,1
ve2,ro4,5.46660572957501,1
ro4,ve2,5.46660572957502,1
sc1,pm4,5.46727825745935,1
ro1,pm1,5.4679005956175,1
pm1,ro1,5.4679005956175,1
sc4,lm2,5.46869607329106,1
lm2,sc4,5.46869607329107,1
pm4,ro2,5.4696273833505,1
win,pr2,5.47018025048861,1
pr2,win,5.47018025048861,1
ll1,ro4,5.47019500437532,1
ro4,ll1,5.47019500437533,1
sc4,pm2,5.47138520879195,1
pm2,sc4,5.47138520879195,1
pm5,ca5,5.4714492579284,1
ca5,pm5,5.4714492579284,1
fur,ro3,5.47171121889917,1
ro3,fur,5.47171121889918,1
eg1,sc3,5.47182472434079,1
sc3,eg1,5.47182472434082,1
ll1,ro3,5.4728016589229,1
ro3,ll1,5.47280165892291,1
sc3,lm2,5.47289825547085,1
lm2,sc3,5.47289825547085,1
eg1,ca4,5.47355923014871,1
ca4,eg1,5.47355923014871,1
eg1,ca5,5.47432222128655,1
ca5,eg1,5.47432222128655,1
ll1,ro2,5.47880979468777,1
ro2,ll1,5.47880979468778,1
pm4,nea,5.4799666178444,1
ca1,ro1,5.48002771233569,1
ro1,ca1,5.4800277123357,1
ca2,pm4,5.4814112139299,1
pm3,ca4,5.48222513042142,1
ca4,pm3,5.48222513042143,1
eg3,dlm,5.4833998380483,1
dlm,eg3,5.48339983804831,1
ca5,itf,5.48417881296837,1
itf,ca5,5.48417881296838,1
itg,sro,5.48425719723579,1
sro,itg,5.4842571972358,1
ll2,fro,5.4860273870636,1
fro,ll2,5.48602738706361,1
itf,spa,5.48668452447613,1
spa,itf,5.48668452447614,1
pm3,ca6,5.48676733408983,1
ca6,pm3,5.48676733408983,1
pm3,glg,5.48702441767558,1
glg,pm3,5.48702441767558,1
pm2,ca5,5.48805774650193,1
ca5,pm2,5.48805774650193,1
pr1,fro,5.48840500446242,1
fro,pr1,5.48840500446242,1
pm5,ca4,5.48950832999167,1
ca4,pm5,5.48950832999167,1
pr1,ve1,5.49089599829023,1
ve1,pr1,5.49089599829024,1
ro3,pm3,5.4915471294818,1
pm3,ro3,5.4915471294818,1
ve2,ro1,5.49209387851349,1
ro1,ve2,5.49209387851351,1
pm1,ll1,5.49268313693949,1
ll1,pm1,5.49268313693949,1
itf,ca4,5.49389453858307,1
ca4,itf,5.49389453858307,1
pm2,ro4,5.49457865207587,1
ro4,pm2,5.49457865207589,1
sc3,ast,5.49486024605448,1
ast,sc3,5.4948602460545,1
ve2,ca1,5.49534137738482,1
ca1,ve2,5.49534137738483,1
pm1,ca4,5.49728540710926,1
ca4,pm1,5.49728540710926,1
itg,dlm,5.49742707542855,1
dlm,itg,5.49742707542856,1
ito,sro,5.49876424147494,1
sro,ito,5.49876424147495,1
pm4,ca3,5.49904207454896,1
pm1,pr2,5.49909684337888,1
pr2,pm1,5.49909684337889,1
ve3,ro1,5.5005209337661,1
ro1,ve3,5.50052093376611,1
sc2,glg,5.50164575496704,1
glg,sc2,5.50164575496706,1
ca5,fro,5.50310639974997,1
fro,ca5,5.50310639974998,1
pm4,ca1,5.50577619221602,1
pr1,ca3,5.50671703407656,1
ca3,pr1,5.50671703407657,1
lm2,ro2,5.50679262665259,1
ro2,lm2,5.5067926266526,1
ast,pm4,5.50803819812237,1
sc3,ll2,5.50862435291916,1
ll2,sc3,5.50862435291916,1
li1,ca4,5.50961241722787,1
ca4,li1,5.50961241722787,1
ruq,ruo,5.51029798831463,1
ruo,ruq,5.51029798831463,1
eg2,ca1,5.51035535744496,1
ca1,eg2,5.51035535744496,1
ve3,fro,5.51249509064703,1
fro,ve3,5.51249509064703,1
spa,ca3,5.51495673388772,1
ca3,spa,5.51495673388772,1
pm5,pr2,5.51512751205722,1
pr2,pm5,5.51512751205723,1
pr1,ca1,5.51599976088921,1
ca1,pr1,5.51599976088921,1
sc1,lat,5.51671450260934,1
lat,sc1,5.51671450260935,1
lm1,ll1,5.51686256249338,1
ll1,lm1,5.51686256249338,1
eg4,dlm,5.51714936995082,1
dlm,eg4,5.51714936995083,1
lm1,ca2,5.51959279959021,1
ca2,lm1,5.51959279959021,1
sc1,pm2,5.52039127339707,1
pm2,sc1,5.52039127339707,1
lat,itg,5.52066503823216,1
itg,lat,5.52066503823217,1
sro,li2,5.52099209908881,1
li2,sro,5.52099209908881,1
li1,ro1,5.52133537215723,1
ro1,li1,5.52133537215724,1
fur,ca2,5.52180460019007,1
ca2,fur,5.52180460019008,1
eg4,ca1,5.52288164553809,1
ca1,eg4,5.52288164553811,1
ve3,ca1,5.52371524963186,1
ca1,ve3,5.52371524963187,1
sc4,glg,5.52386291639716,1
glg,sc4,5.52386291639719,1
ro1,pr1,5.5250318768195,1
pr1,ro1,5.5250318768195,1
ro3,pm4,5.52578130925293,1
ll1,li1,5.5281982513135,1
li1,ll1,5.5281982513135,1
pm4,ro1,5.52879776549241,1
sc4,lat,5.52884081968615,1
lat,sc4,5.52884081968615,1
glg,fur,5.52905744664716,1
fur,glg,5.52905744664716,1
nea,eg4,5.53166593927728,1
eg4,nea,5.53166593927729,1
ro1,fur,5.53189330097296,1
fur,ro1,5.53189330097296,1
pm2,ca4,5.5329757297247,1
ca4,pm2,5.5329757297247,1
ro2,pm2,5.53561363964566,1
pm2,ro2,5.53561363964566,1
eg4,ca3,5.53634791666473,1
ca3,eg4,5.53634791666474,1
pm5,ll1,5.53757364464345,1
ll1,pm5,5.53757364464345,1
ro4,pm3,5.5405382713866,1
pm3,ro4,5.5405382713866,1
dlm,pm4,5.543073930114,1
lm2,ro3,5.54442179689061,1
ro3,lm2,5.54442179689062,1
pm2,dlm,5.54682403556783,1
dlm,pm2,5.54682403556784,1
pm3,ro2,5.54739781773167,1
ro2,pm3,5.54739781773168,1
ca4,fro,5.54836948965343,1
fro,ca4,5.54836948965344,1
lm2,ro4,5.54912156169406,1
ro4,lm2,5.54912156169407,1
pm3,ast,5.5493243368205,1
ast,pm3,5.54932433682051,1
itf,ca6,5.55105582645286,1
ca6,itf,5.55105582645286,1
ca1,ro3,5.55116356141921,1
ro3,ca1,5.55116356141922,1
sc1,pm1,5.55307838652936,1
pm1,sc1,5.55307838652936,1
pm1,ca5,5.5582817114632,1
ca5,pm1,5.5582817114632,1
nea,ve1,5.55886707123025,1
ve1,nea,5.55886707123026,1
sc1,ast,5.56045097374153,1
ast,sc1,5.56045097374154,1
eg4,ro2,5.56117184661109,1
ro2,eg4,5.5611718466111,1
eg1,ca6,5.56244645672962,1
ca6,eg1,5.56244645672962,1
ve3,pr2,5.56396279775025,1
pr2,ve3,5.56396279775027,1
nea,ca3,5.56503716807414,1
ca3,nea,5.56503716807415,1
eg1,glg,5.56525566449745,1
glg,eg1,5.56525566449746,1
qbb,itg,5.56569691914293,1
itg,qbb,5.56569691914294,1
pm5,ca2,5.56576821248366,1
ca2,pm5,5.56576821248366,1
pm4,pr2,5.56585126734177,1
li1,ca2,5.56741787013245,1
