,av1,av2,bcc,bgn,bgp,bql,ckb,diq,fay,glk,gzi,hac,jdt,kfm,kiu,kmr,lrl,lsa,luz,mnj,ntz,oru,os1,os2,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,pb1,pb2,pb3,pb4,pb5,pb6,pb7,pb8,pb9,pes,prc,prs,ps1,ps2,ps3,ps4,ps5,pt1,pt2,pt3,pt4,pt5,sdh,sgh,siy,sqo,srz,tgk,tly,vaf,wb1,wb2,wb3,wb5,wne,yah,yai,ydg,zum
av1,NA,0.287359943977591,0.705742296918768,0.697427035330261,0.739075630252101,0.782983193277311,0.780543530543531,0.758239348370927,0.778831845238095,0.725115207373272,0.812678571428571,0.681377551020408,0.821267696267696,0.741043083900227,0.769563492063492,0.736654135338346,0.748529411764706,0.778924162257496,0.714355742296919,0.82233893557423,0.769239631336406,0.778151260504202,0.845989974937343,0.862802840434419,0.804796918767507,0.777836134453781,0.776948051948052,0.767051820728291,0.777836134453781,0.765091036414566,0.754306722689076,0.77359022556391,0.77734593837535,0.794747899159664,0.772934173669468,0.765417833800187,0.771953781512605,0.796298064680418,0.808228291316527,0.79968487394958,0.784698879551821,0.757936507936508,0.756547619047619,0.789600840336134,0.778816526610644,0.76656162464986,0.795562770562771,0.777766106442577,0.749824929971989,0.760181704260652,0.771360544217687,0.791353383458647,0.783998599439776,0.820498511904762,0.796463585434174,0.803383626177744,0.825420168067227,0.799894957983193,0.790091036414566,0.839110644257703,0.811659663865546,0.797934173669468,0.728095238095238,0.866384711779449,0.76656162464986,0.776488095238095,0.777295918367347,0.717199248120301,0.806077694235589,0.761083743842365,0.880666666666667,0.877564102564103,0.859615384615385,0.869871794871795,0.772689075630252,0.801836734693877,0.805952380952381,0.798214285714286,0.734250136836344
av2,0.287359943977591,NA,0.726523297491039,0.692857142857143,0.744270833333333,0.821354166666667,0.79024064171123,0.745487528344671,0.766912972085386,0.750510204081633,0.804901960784314,0.694230769230769,0.806010737628385,0.735185185185185,0.796781305114638,0.765238095238095,0.753225806451613,0.82172619047619,0.727604166666667,0.848310291858679,0.790986394557823,0.811827956989247,0.844013605442177,0.865238095238095,0.806451612903226,0.772043010752688,0.8,0.753763440860215,0.780107526881721,0.783870967741935,0.77741935483871,0.784285714285714,0.785483870967742,0.812058371735791,0.782795698924731,0.770250896057348,0.777956989247312,0.823704789833822,0.828187403993856,0.830645161290323,0.77741935483871,0.755793650793651,0.78494623655914,0.782795698924731,0.78010752688172,0.767741935483871,0.791904761904762,0.797235023041474,0.759062980030722,0.738979591836735,0.788541666666667,0.810408163265306,0.810215053763441,0.817241379310345,0.798924731182796,0.816422287390029,0.848118279569892,0.816129032258064,0.788172043010753,0.843548387096774,0.802688172043011,0.786559139784946,0.718344155844156,0.847619047619048,0.777598566308244,0.797333333333333,0.755142857142857,0.713469387755102,0.803333333333333,0.747069597069597,0.898484848484848,0.896376811594203,0.889855072463768,0.884057971014493,0.761827956989247,0.782291666666667,0.800210084033614,0.818817204301075,0.767002442002442
bcc,0.705742296918768,0.726523297491039,NA,0.50037037037037,0.260663082437276,0.731423611111111,0.670921334557698,0.668650793650794,0.659907834101383,0.651349206349206,0.793121693121693,0.667948717948718,0.752380952380952,0.665909090909091,0.741981390257252,0.624691358024691,0.611784511784512,0.734285714285714,0.599479166666667,0.789105339105339,0.705423280423281,0.737205387205387,0.805291005291005,0.85462962962963,0.84949494949495,0.797474747474748,0.805208333333334,0.808585858585859,0.801010101010101,0.808080808080808,0.762626262626263,0.817283950617284,0.819191919191919,0.804184704184704,0.816161616161616,0.804713804713805,0.807575757575758,0.817952249770432,0.835064935064935,0.847474747474748,0.811616161616162,0.777752976190476,0.80959595959596,0.811616161616162,0.821212121212121,0.793434343434344,0.809002976190476,0.808802308802309,0.802525252525253,0.612654320987654,0.703367003367003,0.684259259259259,0.814646464646465,0.830645161290323,0.81969696969697,0.825528007346189,0.836868686868687,0.779292929292929,0.757575757575758,0.796464646464647,0.774242424242424,0.765151515151515,0.555079365079365,0.804320987654321,0.696206816059757,0.735897435897436,0.687362637362637,0.602006172839506,0.787962962962963,0.707967032967033,0.842307692307692,0.842307692307692,0.819230769230769,0.823076923076923,0.753535353535354,0.781818181818182,0.777108843537415,0.782828282828283,0.594160997732426
bgn,0.697427035330261,0.692857142857143,0.50037037037037,NA,0.443965517241379,0.76264367816092,0.701161616161616,0.673883928571429,0.626785714285714,0.634154351395731,0.691666666666667,0.627777777777778,0.783512544802867,0.590350877192982,0.751700680272109,0.664322916666667,0.613690476190476,0.732285714285714,0.670977011494253,0.800238095238095,0.680131362889984,0.793888888888889,0.825744047619048,0.88125,0.825,0.816666666666667,0.802873563218391,0.825,0.816666666666667,0.813333333333333,0.786111111111111,0.858333333333333,0.815555555555556,0.830555555555556,0.827777777777778,0.771296296296296,0.808333333333333,0.844191919191919,0.85,0.842222222222222,0.815555555555556,0.814942528735632,0.806666666666666,0.815555555555556,0.825,0.798888888888889,0.827586206896552,0.827777777777778,0.817222222222222,0.638541666666667,0.781666666666667,0.681175595238095,0.846666666666667,0.842857142857143,0.819444444444444,0.843080808080808,0.847222222222222,0.806666666666667,0.792777777777778,0.800555555555556,0.811111111111111,0.801666666666667,0.586742424242424,0.758333333333333,0.684017515051998,0.741025641025641,0.671703296703297,0.617113095238095,0.819791666666667,0.691005291005291,0.855072463768116,0.856944444444444,0.822222222222222,0.838888888888889,0.75,0.748850574712644,0.763440860215054,0.804444444444444,0.648222222222222
bgp,0.739075630252101,0.744270833333333,0.260663082437276,0.443965517241379,NA,0.716397849462366,0.693480257116621,0.656009070294785,0.619499178981938,0.647126436781609,0.712719298245614,0.665384615384616,0.753186274509804,0.635,0.736437074829932,0.664047619047619,0.591129032258065,0.703472222222222,0.631451612903226,0.783294930875576,0.688793103448276,0.781182795698925,0.843537414965986,0.854603174603175,0.82741935483871,0.801612903225806,0.792222222222222,0.813440860215054,0.797311827956989,0.796774193548387,0.773655913978495,0.836428571428572,0.811290322580645,0.787480798771121,0.821505376344086,0.793189964157706,0.804301075268817,0.820723362658847,0.836251920122888,0.824193548387097,0.811290322580645,0.780396825396825,0.789247311827957,0.811290322580645,0.818817204301075,0.783870967741936,0.800952380952381,0.804531490015361,0.797004608294931,0.604285714285714,0.71875,0.673095238095238,0.817204301075269,0.821551724137931,0.815860215053764,0.819379276637341,0.827688172043011,0.742204301075269,0.733602150537635,0.765860215053764,0.756720430107527,0.756720430107527,0.627536231884058,0.766428571428571,0.701054067460318,0.695333333333333,0.659238095238095,0.582380952380952,0.726428571428572,0.649382716049383,0.872727272727273,0.878260869565217,0.846376811594203,0.857971014492754,0.756182795698925,0.790625,0.734803921568627,0.771774193548387,0.625808913308913
bql,0.782983193277311,0.821354166666667,0.731423611111111,0.76264367816092,0.716397849462366,NA,0.665702479338843,0.721538800705468,0.478878648233487,0.71863711001642,0.646296296296296,0.809238095238095,0.706911375661375,0.578030303030303,0.784934318555008,0.740046296296296,0.481770833333333,0.610285714285714,0.366428571428571,0.828499278499278,0.65311986863711,0.843434343434343,0.89537037037037,0.878858024691358,0.857070707070707,0.824747474747475,0.845833333333333,0.82979797979798,0.794444444444444,0.826262626262626,0.815151515151515,0.849537037037037,0.840909090909091,0.836796536796537,0.837373737373737,0.832154882154882,0.823232323232323,0.851056014692378,0.861832611832612,0.837878787878788,0.840909090909091,0.818154761904762,0.826262626262626,0.840909090909091,0.838383838383838,0.818181818181818,0.832217261904762,0.831240981240981,0.827994227994228,0.533664021164021,0.6734375,0.619808201058201,0.842929292929293,0.841397849462366,0.82020202020202,0.844995408631772,0.853030303030303,0.777272727272727,0.797474747474747,0.813131313131313,0.802020202020202,0.793434343434343,0.639732142857143,0.744212962962963,0.675954861111111,0.576923076923077,0.641849816849817,0.634656084656085,0.694907407407408,0.705467372134039,0.840972222222222,0.830666666666667,0.789333333333334,0.800666666666667,0.798989898989899,0.787373737373737,0.723095238095238,0.835858585858586,0.69620811287478
ckb,0.780543530543531,0.79024064171123,0.670921334557698,0.701161616161616,0.693480257116621,0.665702479338843,NA,0.725802425802426,0.654454685099847,0.686082251082251,0.633811802232855,0.669191919191919,0.727742704826038,0.642575757575758,0.741980146290491,0.59465601965602,0.627777777777778,0.643131868131868,0.600298438934803,0.76614849796668,0.696385281385281,0.813636363636364,0.850643500643501,0.891591591591592,0.814416896235078,0.804086317722681,0.852888257575758,0.808126721763085,0.806611570247934,0.814921946740129,0.784618916437098,0.832227682227682,0.807346189164371,0.790823822642004,0.808356290174472,0.797918579736762,0.788154269972452,0.820752984389348,0.811819493637676,0.812901744719927,0.809871441689623,0.788974567099567,0.834618916437098,0.809871441689623,0.795730027548209,0.783103764921947,0.807203733766234,0.808572740390922,0.809077790895973,0.614133614133614,0.656907308377897,0.622230022230022,0.794719926538108,0.820185728250245,0.819972451790634,0.821808999081727,0.852548209366391,0.756841138659321,0.787649219467401,0.804820936639119,0.790679522497704,0.770477502295684,0.531344696969697,0.74033579033579,0.640100135554681,0.620987654320988,0.595767195767196,0.564121914121914,0.644185094185094,0.658232838589981,0.775694444444444,0.784666666666667,0.741333333333334,0.768,0.785629017447199,0.814260249554367,0.7252405002405,0.833608815426997,0.667487373737374
diq,0.758239348370927,0.745487528344671,0.668650793650794,0.673883928571429,0.656009070294785,0.721538800705468,0.725802425802426,NA,0.729271708683473,0.639955357142857,0.71017316017316,0.631034482758621,0.684310134310134,0.674120082815735,0.615364583333333,0.646785714285714,0.72037037037037,0.694897959183674,0.660934744268078,0.74891156462585,0.712202380952381,0.761995464852608,0.850079365079365,0.859861111111111,0.860090702947846,0.787233560090703,0.820961718020542,0.790566893424036,0.769138321995465,0.821043083900227,0.801995464852608,0.826845238095238,0.798185941043084,0.780748299319728,0.804852607709751,0.805963718820862,0.813424036281179,0.831892393320965,0.862471655328798,0.846077097505669,0.798185941043084,0.777894491129785,0.806553287981859,0.798185941043084,0.819138321995465,0.802471655328798,0.799183006535948,0.791519274376417,0.796009070294785,0.682698412698413,0.723456790123457,0.672172619047619,0.829410430839002,0.836243386243386,0.830566893424036,0.842527313955885,0.840362811791383,0.771519274376417,0.784852607709751,0.78437641723356,0.765328798185941,0.77437641723356,0.629761904761905,0.796190476190476,0.702248677248677,0.668062397372742,0.743596059113301,0.686150793650794,0.750079365079365,0.665793650793651,0.814102564102564,0.814814814814815,0.805555555555556,0.817901234567901,0.807074829931973,0.792792792792793,0.771693121693122,0.79047619047619,0.649457671957672
fay,0.778831845238095,0.766912972085386,0.659907834101383,0.626785714285714,0.619499178981938,0.478878648233487,0.654454685099847,0.729271708683473,NA,0.68936507936508,0.568518518518519,0.694940476190476,0.681854256854257,0.417460317460317,0.734481292517007,0.737429971988796,0.49468005952381,0.615520282186949,0.509293394777266,0.83026113671275,0.545634920634921,0.825806451612903,0.841596638655462,0.819701213818861,0.788172043010753,0.764516129032258,0.825555555555555,0.770967741935484,0.746774193548387,0.756989247311828,0.755376344086022,0.803921568627451,0.776881720430108,0.805069124423963,0.762903225806452,0.798028673835125,0.76989247311828,0.804824745147326,0.808832565284178,0.81689708141321,0.779569892473119,0.753888888888889,0.812365591397849,0.779569892473119,0.789784946236559,0.773655913978495,0.783333333333333,0.812903225806452,0.784408602150538,0.575140056022409,0.703492063492063,0.648669467787115,0.817741935483871,0.797947454844006,0.778494623655914,0.820416142996788,0.822004608294931,0.745161290322581,0.761827956989247,0.775806451612903,0.766666666666667,0.751612903225806,0.561796536796537,0.741386554621849,0.574923195084485,0.55280612244898,0.613095238095238,0.583193277310924,0.701120448179272,0.656037414965986,0.824206349206349,0.831238095238095,0.785904761904762,0.815904761904762,0.750537634408602,0.787723214285714,0.702453102453102,0.82741935483871,0.664050558495003
glk,0.725115207373272,0.750510204081633,0.651349206349206,0.634154351395731,0.647126436781609,0.71863711001642,0.686082251082251,0.639955357142857,0.68936507936508,NA,0.482407407407407,0.696687370600414,0.619239631336406,0.616666666666667,0.650510204081632,0.606733630952381,0.583620689655172,0.475457875457875,0.599096880131363,0.782698412698413,0.468229166666667,0.755555555555556,0.852455357142857,0.828050595238095,0.836349206349206,0.796666666666667,0.835632183908046,0.82,0.796666666666667,0.812222222222223,0.798333333333333,0.815104166666667,0.828333333333334,0.827777777777778,0.828333333333334,0.819867724867725,0.818333333333333,0.816969696969697,0.850238095238095,0.818333333333333,0.828333333333334,0.8,0.811666666666667,0.828333333333334,0.835,0.812777777777778,0.826666666666667,0.811111111111111,0.813333333333333,0.510267857142857,0.726349206349206,0.442261904761905,0.823333333333333,0.843707482993197,0.838333333333333,0.840858585858586,0.847460317460318,0.794444444444445,0.792222222222222,0.830555555555556,0.816111111111111,0.813333333333333,0.562337662337662,0.72593005952381,0.691269841269841,0.479805996472663,0.50652557319224,0.485416666666667,0.689732142857143,0.5668430335097,0.809415584415584,0.816666666666667,0.766977225672878,0.794927536231884,0.801111111111111,0.793103448275862,0.629761904761905,0.828571428571429,0.614346764346764
