L1,L2,Score
av1_az3m,NaN,NaN
av1_az3m,pb1_z3,5.38082656932
av1_az3m,pb2_z3,5.38082656932
av1_az3m,bql_mo,-0.79659830259
av1_az3m,bgp_mah,-1.79659830259
av1_az3m,bgn_man,-1.79659830259
av1_az3m,ps1_z3,5.38082656932
av1_az3m,pb3_z3,5.38082656932
av1_az3m,pb4_z3,5.38082656932
av1_az3m,wb1_woz,1.462381021744
av1_az3m,pt1_z3,5.38082656932
av1_az3m,wb2_woz,1.462381021744
av1_az3m,pb5_z3,5.38082656932
av1_az3m,pb6_z3,5.38082656932
av1_az3m,os1_Ez,2.806227546919
av1_az3m,pb7_z3,5.38082656932
av1_az3m,prs_mEn,-1.79659830259
av1_az3m,gzi_mo,-0.79659830259
av1_az3m,glk_mEn,-1.79659830259
av1_az3m,NaN,NaN
av1_az3m,pb8_z3,5.38082656932
av1_az3m,os2_EZ,0.836772553479
av1_az3m,wb3_woz,1.462381021744
av1_az3m,pb9_z3,5.38082656932
av1_az3m,p10_z3,5.38082656932
av1_az3m,jdt_me,-0.79659830259
av1_az3m,pt2_z3,5.38082656932
av1_az3m,ps2_z3,5.38082656932
av1_az3m,kiu_Ez,2.806227546919
av1_az3m,zum_meh,-1.79659830259
av1_az3m,NaN,NaN
av1_az3m,kmr_min,-1.79659830259
av1_az3m,ps3_z3,5.38082656932
av1_az3m,lrl_ma,-0.79659830259
av1_az3m,lsa_a,-0.9794759419
av1_az3m,luz_mu,-0.79659830259
av1_az3m,p11_z3,5.38082656932
av1_az3m,p12_z3,5.38082656932
av1_az3m,p13_z3,5.38082656932
av1_az3m,kfm_mon,-1.79659830259
av1_az3m,p14_zo,2.28010606132
av1_az3m,ps4_z3,5.38082656932
av1_az3m,p15_z3,5.38082656932
av1_az3m,mnj_z3,5.38082656932
av1_az3m,ntz_mun,-1.79659830259
av1_az3m,p16_z3,5.38082656932
av1_az3m,p17_z3,5.38082656932
av1_az3m,p18_z3,5.38082656932
av1_az3m,oru_az,5.18908777836
av1_az3m,prc_on,-4.706182698516
av1_az3m,p19_z3,5.38082656932
av1_az3m,pt3_z3,5.38082656932
av1_az3m,pes_man,-1.79659830259
av1_az3m,p20_z3,5.38082656932
av1_az3m,pt4_z3,5.38082656932
av1_az3m,pt5_z3,5.38082656932
av1_az3m,srz_me,-0.79659830259
av1_az3m,p21_z3,5.38082656932
av1_az3m,sgh_woz,1.462381021744
av1_az3m,siy_me,-0.79659830259
av1_az3m,sqo_o,-3.706182698516
av1_az3m,bcc_man,-1.79659830259
av1_az3m,sdh_min,-1.79659830259
av1_az3m,fay_mo,-0.79659830259
av1_az3m,p22_z3,5.38082656932
av1_az3m,tgk_man,-1.79659830259
av1_az3m,tly_oz,2.462381021744
av1_az3m,p23_z3,5.38082656932
av1_az3m,p24_z3,5.38082656932
av1_az3m,vaf_aez,4.18908777836
av1_az3m,ps5_z3,5.38082656932
av1_az3m,wne_z3,5.38082656932
av1_az3m,yai_mEn,-1.79659830259
av1_az3m,wb5_woz,1.462381021744
av1_az3m,yah_az,5.18908777836
av1_az3m,ydg_zoh,1.28010606132
av1_az3m,p25_z3,5.38082656932
av1_az3m,diq_mun,-1.79659830259
NaN,pb1_z3,NaN
NaN,pb2_z3,NaN
NaN,bql_mo,NaN
NaN,bgp_mah,NaN
NaN,bgn_man,NaN
NaN,ps1_z3,NaN
NaN,pb3_z3,NaN
NaN,pb4_z3,NaN
NaN,wb1_woz,NaN
NaN,pt1_z3,NaN
NaN,wb2_woz,NaN
NaN,pb5_z3,NaN
NaN,pb6_z3,NaN
NaN,os1_Ez,NaN
NaN,pb7_z3,NaN
NaN,prs_mEn,NaN
NaN,gzi_mo,NaN
NaN,glk_mEn,NaN
NaN,NaN,NaN
NaN,pb8_z3,NaN
NaN,os2_EZ,NaN
NaN,wb3_woz,NaN
NaN,pb9_z3,NaN
NaN,p10_z3,NaN
NaN,jdt_me,NaN
NaN,pt2_z3,NaN
NaN,ps2_z3,NaN
NaN,kiu_Ez,NaN
NaN,zum_meh,NaN
NaN,NaN,NaN
NaN,kmr_min,NaN
NaN,ps3_z3,NaN
NaN,lrl_ma,NaN
NaN,lsa_a,NaN
NaN,luz_mu,NaN
NaN,p11_z3,NaN
NaN,p12_z3,NaN
NaN,p13_z3,NaN
NaN,kfm_mon,NaN
NaN,p14_zo,NaN
NaN,ps4_z3,NaN
NaN,p15_z3,NaN
NaN,mnj_z3,NaN
NaN,ntz_mun,NaN
NaN,p16_z3,NaN
NaN,p17_z3,NaN
NaN,p18_z3,NaN
NaN,oru_az,NaN
NaN,prc_on,NaN
NaN,p19_z3,NaN
NaN,pt3_z3,NaN
NaN,pes_man,NaN
NaN,p20_z3,NaN
NaN,pt4_z3,NaN
NaN,pt5_z3,NaN
NaN,srz_me,NaN
NaN,p21_z3,NaN
NaN,sgh_woz,NaN
NaN,siy_me,NaN
NaN,sqo_o,NaN
NaN,bcc_man,NaN
NaN,sdh_min,NaN
NaN,fay_mo,NaN
NaN,p22_z3,NaN
NaN,tgk_man,NaN
NaN,tly_oz,NaN
NaN,p23_z3,NaN
NaN,p24_z3,NaN
NaN,vaf_aez,NaN
NaN,ps5_z3,NaN
NaN,wne_z3,NaN
NaN,yai_mEn,NaN
NaN,wb5_woz,NaN
NaN,yah_az,NaN
NaN,ydg_zoh,NaN
NaN,p25_z3,NaN
NaN,diq_mun,NaN
pb1_z3,pb2_z3,7.38082656932
pb1_z3,bql_mo,-2.88845765894
pb1_z3,bgp_mah,-3.463486994405
pb1_z3,bgn_man,-3.463486994405
pb1_z3,ps1_z3,7.38082656932
pb1_z3,pb3_z3,7.38082656932
pb1_z3,pb4_z3,7.38082656932
pb1_z3,wb1_woz,2.16856372026
pb1_z3,pt1_z3,7.38082656932
pb1_z3,wb2_woz,2.16856372026
pb1_z3,pb5_z3,7.38082656932
pb1_z3,pb6_z3,7.38082656932
pb1_z3,os1_Ez,3.16856372026
pb1_z3,pb7_z3,7.38082656932
pb1_z3,prs_mEn,-3.692117440934
pb1_z3,gzi_mo,-2.88845765894
pb1_z3,glk_mEn,-3.692117440934
pb1_z3,NaN,NaN
pb1_z3,pb8_z3,7.38082656932
pb1_z3,os2_EZ,1.19910872682
pb1_z3,wb3_woz,2.16856372026
pb1_z3,pb9_z3,7.38082656932
pb1_z3,p10_z3,7.38082656932
pb1_z3,jdt_me,-2.937497053021
pb1_z3,pt2_z3,7.38082656932
pb1_z3,ps2_z3,7.38082656932
pb1_z3,kiu_Ez,3.16856372026
pb1_z3,zum_meh,-3.937497053021
pb1_z3,NaN,NaN
pb1_z3,kmr_min,-4.3555388602
pb1_z3,ps3_z3,7.38082656932
pb1_z3,lrl_ma,-2.463486994405
pb1_z3,lsa_a,-1.463486994405
pb1_z3,luz_mu,-2.878192004753
pb1_z3,p11_z3,7.38082656932
pb1_z3,p12_z3,7.38082656932
pb1_z3,p13_z3,7.38082656932
pb1_z3,kfm_mon,-3.88845765894
pb1_z3,p14_zo,4.28010606132
pb1_z3,ps4_z3,7.38082656932
pb1_z3,p15_z3,7.38082656932
pb1_z3,mnj_z3,7.38082656932
pb1_z3,ntz_mun,-3.878192004753
pb1_z3,p16_z3,7.38082656932
pb1_z3,p17_z3,7.38082656932
pb1_z3,p18_z3,7.38082656932
pb1_z3,oru_az,3.16856372026
pb1_z3,prc_on,-2.88845765894
pb1_z3,p19_z3,7.38082656932
pb1_z3,pt3_z3,7.38082656932
pb1_z3,pes_man,-3.463486994405
pb1_z3,p20_z3,7.38082656932
pb1_z3,pt4_z3,7.38082656932
pb1_z3,pt5_z3,7.38082656932
pb1_z3,srz_me,-2.937497053021
pb1_z3,p21_z3,7.38082656932
pb1_z3,sgh_woz,2.16856372026
pb1_z3,siy_me,-2.937497053021
pb1_z3,sqo_o,-1.88845765894
pb1_z3,bcc_man,-3.463486994405
pb1_z3,sdh_min,-4.3555388602
pb1_z3,fay_mo,-2.88845765894
pb1_z3,p22_z3,7.38082656932
pb1_z3,tgk_man,-3.463486994405
pb1_z3,tly_oz,3.16856372026
pb1_z3,p23_z3,7.38082656932
pb1_z3,p24_z3,7.38082656932
pb1_z3,vaf_aez,2.16856372026
pb1_z3,ps5_z3,7.38082656932
pb1_z3,wne_z3,7.38082656932
pb1_z3,yai_mEn,-3.692117440934
pb1_z3,wb5_woz,2.16856372026
pb1_z3,yah_az,3.16856372026
pb1_z3,ydg_zoh,3.28010606132
pb1_z3,p25_z3,7.38082656932
pb1_z3,diq_mun,-3.878192004753
pb2_z3,bql_mo,-2.88845765894
pb2_z3,bgp_mah,-3.463486994405
pb2_z3,bgn_man,-3.463486994405
pb2_z3,ps1_z3,7.38082656932
