BRETON,CORNISH,SCOTTISH_GAELIC,IRISH_GAELIC,MANX,OLD_IRISH,PROTO_CELTIC,WELSH
bre_mE,cor_mi,gla_mi,gle_mye,glv_me,sga_me,pcl_me,cym_mi
bre_tE,cor_ti,gla_hu,gle_tu,glv_Siu,sga_tu,pcl_tu,cym_ti
bre_ni,cor_ni,gla_Si5,gle_midy,glv_Sin,sga_sni,pcl_snis,cym_ni
bre_inan,cor_onEn,gla_unx,gle_in,glv_un,sga_oen,pcl_oino,cym_3n
bre_dau,cor_diu,gla_ta,gle_xa,glv_de,sga_dau,pcl_dwei,cym_da3
bre_dEn,cor_den,gla_tu5E,gle_di53,glv_du53,sga_duine,pcl_donyo,cym_d3n
bre_pEsk,cor_pisk,gla_i3sk,gle_i3sk,glv_yis,sga_iask,pcl_peisko,cym_p3sgod3n
bre_ki,cor_ki,gla_khu,gle_ku,glv_ma83,sga_ku,pcl_kwu,cym_ki
bre_lau,cor_lowen,gla_myi3l,gle_sor,glv_mil,sga_mil,pcl_lous,cym_L33En
bre_gwEzEn,cor_gwi8en,gla_khrxuv,gle_kran,glv_bily3,sga_kran,pcl_kwrano,cym_prEn
bre_dElien,cor_delen,gla_tuLak,gle_diLog,glv_dolyag,sga_duile,pcl_dalinyo,cym_d3ilEn
bre_kroxEn,cor_kroxen,gla_khrxakhyenx,gle_ky5as,glv_krax3n,sga_knes,pcl_keni,cym_kro3n
bre_gwad,cor_gos,gla_fuL,gle_kro,glv_fol,sga_fuil,pcl_kruwos,cym_gwa3d
bre_askorn,cor_Eskorn,gla_khnxav,gle_knav,glv_krew,sga_knaim,pcl_askorno,cym_asgurn
bre_korn,cor_korn,gla_axarxxk,gle_airk,glv_eak,sga_adark,pcl_bena,cym_korn
bre_skuarn,cor_skovErn,gla_khlu3s,gle_klu3s,glv_kleS,sga_kluas,pcl_ausos,cym_kl3st
bre_lagad,cor_lEgEs,gla_suL,gle_suL,glv_suly,sga_suil,pcl_lukato,cym_L3gad
bre_fri,cor_tron,gla_srxonx,gle_sron,glv_strui5,sga_sron,pcl_strokna,cym_tru3n
bre_dant,cor_dEns,gla_fy3khEL,gle_dyed,glv_fix3l,sga_det,pcl_dant,cym_dant
bre_ted,cor_tEves,gla_ChaNga,gle_tyaNg3,glv_Ci53,sga_teNgae,pcl_liguru,cym_tavod
bre_glin,cor_glin,gla_klunx,gle_glu5,glv_glyu5,sga_glun,pcl_glugno,cym_glin
bre_dorn,cor_dorn,gla_lav,gle_lav,glv_l3w,sga_lam,pcl_glako,cym_Lau
bre_bron,cor_bron,gla_khyix,gle_brol3x,glv_kix,sga_kix,pcl_brondyo,cym_bron
bre_avu,cor_Evi,gla_axa,gle_kru3e,glv_en,sga_nan,pcl_awowo,cym_ia3
bre_Evo,cor_evE,gla_ol,gle_ol,glv_iu,sga_ibid,pcl_degu,cym_3vE
bre_gwElEt,cor_gweles,gla_fakhy,gle_aurk,glv_fakin,sga_adki,pcl_derke,cym_gwEl
bre_klEvEt,cor_kliues,gla_khlu5,gle_kloS,glv_klaStin,sga_rokluine8ar,pcl_klewe,cym_kl3uE
bre_mErvEl,cor_merwel,gla_pasEx,gle_eg,glv_ge8inbes,sga_atbail,pcl_adbale,cym_maru
bre_dont,cor_dos,gla_hyiky,gle_tar,glv_Cit,sga_dotet,pcl_tuage,cym_do
bre_hel,cor_houl,gla_krxi3nx,gle_gyryi3n,glv_grin,sga_grian,pcl_sawel,cym_ha3l
bre_stErEdEn,cor_steren,gla_rxiunxaky,gle_relt3,glv_roleg,sga_retglu,pcl_ster,cym_sErEn
bre_dur,cor_dour,gla_uSkyE,gle_iSky3,glv_uSty3,sga_uiske,pcl_akwa,cym_dur
bre_men,cor_men,gla_khlax,gle_klox,glv_klax,sga_lie,pcl_arto,cym_karEg
bre_tan,cor_tEn,gla_Che5E,gle_tyi53,glv_ail,sga_tene,pcl_aidu,cym_ton
bre_hEnt,cor_vor8,gla_rxahaj,gle_kosan,glv_red,sga_slige,pcl_lergo,cym_Lu3br
bre_mEnEz,cor_meni8,gla_pyenx,gle_SLi3v,glv_slyu,sga_sliab,pcl_brig,cym_m3n38
bre_noz,cor_nos,gla_oxE,gle_ixy3,glv_ei,sga_adaig,pcl_adakwi,cym_nos
bre_len,cor_liun,gla_lanx,gle_lan,glv_lan,sga_lan,pcl_plano,cym_Laun
bre_nEvEz,cor_nowi8,gla_urx,gle_nu3,glv_noa,sga_nue,pcl_newyo,cym_nEu38
bre_anv,cor_hEnou,gla_a53m,gle_a53my,glv_en3m,sga_ainm,pcl_anman,cym_Enu
