aaz3m,,pz3,pz3,bqmo,bgmah,bgman,pz3,pz3,pz3,wwoz,pz3,wwoz,pz3,pz3,oEz,pz3,prmEn,gzmo,glmEn,,pz3,oEZ,wwoz,pz3,p10_z3,jdme,pz3,pz3,kiEz,zumeh,,kmmin,pz3,lrma,lsa,lumu,z3,z3,z3,kfmon,zo,pz3,z3,mnz3,ntmun,z3,z3,z3,oraz,pron,z3,pz3,peman,p20_z3,pz3,pz3,srme,z3,sgwoz,sime,sqo,bcman,sdmin,famo,z3,tgman,tloz,z3,z3,vaaez,pz3,wnz3,yamEn,wwoz,yaaz,ydzoh,z3,dimun
atum,,pt3,pt3,bqto,,bg8a,pt3,pt3,pt3,wtu,pt3,wtu,pt3,pt3,odu,pt3,prtu,gzto,gltu,,pt3,od3,wtu,pt3,p10_t3,jdti,pt3,pt3,kitu,zuto,ckto,kmtu,pt3,lrto,lsto,luto,t3,t3,t3,kfto,to,pt3,t3,mntu,ntto,th3,t3,t3,ortu,prto,t3,pt3,peto,p20_t3,pt3,pt3,srte,t3,sgto,site,sqto,bcthau,sdto,fato,t3,tgtu,tlti,t3,th3,vatE,pt3,wnta,yatu,wtu,yatow,ydtu,t3,dito
avaem,,pmuNga,pmuNga,,bgma,bgmaSma,pmeZa,pmuNga,pmuNga,wsok,pmoZ,wsok,pmuNg,pmuZa,omaX,pm3Ng3,prmo,gzama,glama,haema,pmu,omaX,wsok,pmuZa,p10_muNg,jdimu,pmuZ,pmuZ3,kima,zumah,ckema,kmem,pmuZ3,lrama,lshEm,,m3Ng3,muNg,muN,kfhama,muN,pmiZ,m3Nga,mnZim3n,nthamo,muNg,muNg3,muNga,ormax,prmo,mu,pmuZ,pem3,p20_muN,pmuZ,pm3Z,srhEmi,muNg3,sgmES,sihame,sqhEm,bcma,sdXma,fama,muNg3,tgmo,tl3m3,mu,muNg,vaawan,pmiZ,wnmoS,yamoX,wsok,yaaztow,ydm3x,mu,dima
,aaeva,pyao,py3o,bqyak,bgyak,bgyak,pyou,py3o,pyao,wyiu,pyo,wyiu,py3o,pyo,oyew,py3o,pryEk,gzyeg,gli,,pyo,oiu,wyiu,pyou,p10_yo,jdeki,py3o,pyo,kizu,zuyek,ckyak,kmyek,pyo,lryak,lsi,luya,y3u,y3o,y3u,kfyak,y3u,pyo,y3o,mnyu,ntjEk,yau,y3o,yao,ors3,prZu,yo,py3o,peyek,p20_y3u,py3o,py3o,srjek,yau,sgyi,siye,sqi,bcyak,sdyaki,fayak,y3o,tgyak,tli,yo,yo,vayey,pyo,wnyo,yayEk,wyiu,yawog,ydyu,yo,diZu
adua,,pdwa,pdwa,bqdo,bgdo,bg8u,pdwa,pdwa,pdwa,wbui,pdw3,wbui,pdwa,pdwa,oduwE,pdw3,prdu,gzdu,gldu,hadue,pdwa,od3wE,wbui,pdwa,p10_dwa,jddi,pdwa,pdw3,kid3,zudoh,ckdu,kmdu,pdw3,lrdom,lsdo,ludo,dwa,dwa,dwa,kfdo,dwa,pdwa,dwa,mnlu,ntdo,dwa,dwa,dwa,ordio,prdi,dwa,pdw3,pedo,p20_dwa,pdw3,pdwa,srdi,dwa,sg8o,siduwwe,sqdo,bcdo,sddo,fado,dwa,tgdu,tldi,dwa,dwa,vado,pdw3,wndwa,yadu,wbui,ya8ow,ydloh,dw3,didudu
amaSio,amaSya,psare,ps3re,bqpiyo,bgmardum,bgkas,psarai,ps3re,psare,,ps3r3i,,psare,psare,oadEmag,ps3re,prnEfEr,,glmErd,,ps3r3i,oadEmag,,ps3re,p10_sarai,jdodomi,pSar3i,psar3i,,,ckkas,kmmirov,ps3r3i,lrXadam,lsmirdE,,s3re,s3r3i,s3re,kfaxe,s3re,ps3rai,s3re,mnmEra,ntmirE,sarai,sare,sare,ors3r3i,prmonES,s3rai,ps3r3i,peens3n,p20_s3re,ps3r3i,ps3r3i,srmard,s3rai,sgCor,sinafar,sqmirdi,bckhas,sdayam,faadom,sare,tgodam,tlod3m,s3r3,sarai,vaadui,ps3r3i,wnsara,yamorti,,yainson,ydm3L3,s3r3i,dimerdum
amasio,amasya,pm3ye,pm3ye,bqmoi,bgmahi,bgmai,pk3b,pm3yi,pm3ye,wkhup,pmai,wkhup,pk3b,pm3yi,okEsalgE,pm3ye,prmohi,,glmahi,,pm3Si,okESag,wmoyi,pk3b,p10_k3b3,jdZ3X,pmah3i,pk3b,,zumi,ckmosi,kmmasi,pk3b,lrma7i,lsmoi,lumahi,mahe,kab,m3ye,,mahe,pkab,m3yan,mnkop,ntmahi,mahi,k3b,m3ye,ormayi,prmohi,muSe,pmayei,pem3hi,p20_k3b,pmaye,pmaye,srmohi,mayi,sgmoyi,simoi,sqmohi,bcmahi,,famoi,m3yi,tgmoXi,tlmoy,meSe,k3b3,,pkab,wnmaha,yamEhi,wmoyi,yamahay,ydk3p,moyi,dimase
aspa,aspan,pspe,pspe,bqkEtu,bgbiN,bgkuCak,pspai,pspe,pspe,wSoC,psp3i,wSoC,pspe,pspe,okuy,pspe,prsEg,,glsEg,hatuta,pspe,okw3z,wSoC,pspe,p10_sp3i,jdseg,psp3i,pspai,kikut3k,zusogh,cksag,kmseg,pspai,lrsag,lsEsbE,lusag,spe,sp3i,spe,kfkuE,spe,pspai,spe,mnxulf,ntkuya,spai,spe,spe,orsp3k,,spai,psp3i,pesag,p20_spe,psp3i,pspai,srsag,spai,sgkod,siespe,sqesbo,bcsag,sdsag,fakotu,spe,tgsag,tlsip3,sp3,spai,vaEsbE,pspai,wnspa,yakut,wSoC,yakod,ydxalf,sp3i,dikutuk
,,,,bqSeS,,,,,,,,,,,osistE,,prSebeS,gzuSpaS,,hahaSpiSi,,oS3St,,,,jdsubuZ,,,kiasp3z3,,,kmsipi,,lreS,,luSES,,,,kfeSpeS,,,,,,,wr3ga,,,,,,peSepeS,,,,,,sgsipEx,sipeS,,bcbot,,faSoS,,tgSabuSk,tlsibiZ,,,,,,yaSipuS,,yas3paw,,,diuSpiZ
avana,avana,pw3n3,pw3na,bqdur,bgdaraSk,bg8rax8,pwona,pbute,pw3n3,wkiCit,pd3r3t,wkiCit,pwon3,pw3n3,obElasE,pw3n3,prdErEt,,gldar,hadiraxt,pw3n3,obElaS,wdoroxt,pw3na,p10_w3n3,jddor,pdr3t3,pw3n3,kidar3,zuSidreh,ckdor,kmdar,pw3n3,lrderaxt,lsdor,ludar,w3n3,but3i,w3n3,,w3n3,pw3na,w3na,mnd3r3t3,ntderaXt,w3n3,w3n3,w3n3,orwon3,prbXin,w3n3,pdr3t3,pederaxt,p20_w3n3,pdr3t3,pd3r3t3,srdor,w3n3,sgdirEt,sideraxt,sqdar,bcdraSk,sddar,fad3raxt,w3n3,tgdarat,tldo,w3n3,w3n3,vadar,pw3n3,wndr3t3,yadErEt,wthik,yad3ruxt,yddrat,w3n3,didar
