qbb_omnis,lat_omnis,ruq_tot,ruo_tot,rup_tutu,ron_tot,dlm_toC,fur_dut,ll1_dut,ll2_dut,ro1_tut,ro2_tut,ro3_tot,ro4_twot,pm1_tit,pm2_tit,pm3_tiit,pm4_tit,pm5_tiC,lm1_tEt,lm2_tiC,eg1_tot,eg2_tut,eg3_tut,eg4_tot,li1_titu,li2_titu,li3_titu,ve1_tuto,ve2_tut,ve3_tuto,ito_tuto,ita_tuto,itg_tuto,itf_tutu,nea_tut3,src_totu,sro_totu,sc1_tutu,sc2_tutu,sc3_tutu,sc4_tutu,ca1_tot,ca2_tot,ca3_tot,ca4_tot,ca5_tot,ca6_tot,spa_to8o,ast_too,por_to8u,glg_to8o,pr1_tut,pr2_to,fro_tot,fra_tu,pcd_tu,win_tu
qbb_kinis,lat_kinis,ruq_C3nuS3,ruo_CeruSe,rup_CinuSe,ron_CenuS3,dlm_kEnEisE,fur_Cinize,ll1_C3nd3r,ll2_CendEr,ro1_CEndr3,ro2_CEndr3,ro3_CEndr3,ro4_CEndr3,pm1_s3nEr,pm2_s3nEr,pm3_s3nEr,pm4_sin3r,pm5_sENdri,lm1_sEnder,lm2_SendEr,eg1_TEndrE,eg2_TEndEr,eg3_sEndrE,eg4_sEndrE,li1_seNie,li2_Ceneri,li3_srene,ve1_sEneri,ve2_8eNdre,ve3_8eNdro,ito_Cenere,ita_Cenere,itg_Cenere,itf_Cenere,nea_SEn3r3Sen3r3,src_kisinE,sro_CiniZu,sc1_Ciniri,sc2_Ciniri,sc3_Ciniri,sc4_Ciniri,ca1_sEndr3,ca2_sEndrE,ca3_sEndr3,ca4_sEndrE,ca5_sEndrE,ca6_sEndrE,spa_8eni8E,ast_8eni8E,por_siza,glg_8in8E,pr1_sEndre,pr2_fEdrE,fro_TEndr3,fra_sodr,pcd_SEn,win_sEn
qbb_libEr,lat_NaN,ruq_NaN,ruo_korE,rup_koEZe,ron_skoErT3,dlm_NaN,fur_skuse,ll1_SkorTE,ll2_SkorTE,ro1_Skors3,ro2_Skors3,ro3_Skors3,ro4_SkorT3,pm1_plEiE,pm2_skorsE,pm3_skorsE,pm4_skorsE,pm5_skorsE,lm1_rEskE,lm2_pEl,eg1_skoErTE,eg2_kurtECE,eg3_kurtEsE,eg4_skorsE,li1_skorsE,li2_skorsE,li3_skorsE,ve1_skorsE,ve2_skor8E,ve3_skor8E,ito_skorTE,ita_korteCE,itg_buCE,itf_korteCE,nea_SkorT3,src_ko8ikinE,sro_skroZu,sc1_SkworCE,sc2_skoCE,sc3_skorCE,sc4_SkoCE,ca1_3skors3,ca2_EskorsE,ca3_3skors3,ca4_krostE,ca5_EskorsE,ca6_korfE,spa_korte8E,ast_korte8E,por_kESka,glg_korte8E,pr1_risko,pr2_ekErsE,fro_eskorT3,fra_ekors,pcd_plEt,win_skwEs
qbb_wEntEr,lat_vEntEr,ruq_foEli,ruo_t3rbux,rup_pintiku,ron_burt3,dlm_viEntro,fur_pEnTe,ll1_v3nt3r,ll2_venter,ro1_vEnt3r,ro2_vEnt3r,ro3_vEint3r,ro4_vEint3r,pm1_pENsE,pm2_pENsE,pm3_pENsE,pm4_pENsE,pm5_pENsE,lm1_pEnsE,lm2_ventru,eg1_panTE,eg2_pEnTE,eg3_pEnsE,eg4_pEnsE,li1_pENsE,li2_pENsE,li3_pENsE,ve1_pENsE,ve2_pEN8E,ve3_pEN8E,ito_vEntre,ita_vEntre,itg_pEnCE,itf_tripu,nea_pEnT3,src_frente,sro_brEnti,sc1_pEnTE,sc2_pEnTE,sc3_pEnTE,sc4_pEnTE,ca1_pENS3,ca2_pENCE,ca3_pENS3,ca4_pENCE,ca5_pENCE,ca6_pENCE,spa_tripE,ast_bErigE,por_barixa,glg_bErixE,pr1_vEntre,pr2_vEtro,fro_vEntr3,fra_votr,pcd_poS,win_vEt
qbb_mENnus,lat_grEndis,ruq_mEri,ruo_more,rup_mEre,ron_mEre,dlm_mEwr,fur_grEnt,ll1_grEnt,ll2_grEn,ro1_gront,ro2_gront,ro3_gront,ro4_gront,pm1_grENd,pm2_gros,pm3_grENd,pm4_grENd,pm5_gros,lm1_gros,lm2_grEnt,eg1_grand,eg2_grEnd,eg3_gros,eg4_grEnd,li1_grosu,li2_grEsu,li3_grosu,ve1_grENdo,ve2_grENt,ve3_grENt,ito_grEnde,ita_grEnde,itg_groso,itf_grosu,nea_rwos3,src_mEnu,sro_mEnu,sc1_rEni,sc2_rosu,sc3_rEni,sc4_rEni,ca1_grEn,ca2_grEn,ca3_gros,ca4_grEn,ca5_grEn,ca6_grEn,spa_grEnde,ast_grEnde,por_grand3,glg_grEnde,pr1_grEnt,pr2_grE,fro_grEnt,fra_gro,pcd_gro,win_grE
qbb_Ewis,lat_Evis,ruq_puL,ruo_puL,rup_puLu,ron_pEs3re,dlm_uCul,fur_uCEl,ll1_uCel,ll2_uCel,ro1_uCE,ro2_uCi,ro3_uCel,ro4_uCE,pm1_uzEl,pm2_uzEl,pm3_uzEl,pm4_uzEl,pm5_izEl,lm1_oTEl,lm2_ulCEl,eg1_uzEl,eg2_uzEl,eg3_uzEl,eg4_uzEl,li1_owZelu,li2_EwZelu,li3_owZe,ve1_ozEo,ve2_uzEl,ve3_ozEl,ito_uCElo,ita_uCElo,itg_uCElo,itf_Celu,nea_EwSiel3,src_puZone,sro_piloni,sc1_ECiEdu,sc2_ECidu,sc3_ECEdu,sc4_EwCiEdu,ca1_useL,ca2_miSo,ca3_p3r8El,ca4_pEr8El,ca5_pEr8El,ca6_pEr8El,spa_pExEro,ast_pESEro,por_Ev3,glg_Ebe,pr1_Ewsw,pr2_EiZo,fro_oizel,fra_wEzo,pcd_ozio,win_oZe
qbb_morderE,lat_morderE,ruq_muCku,ruo_muCko,rup_miSku,ron_EmuSkE,dlm_morskwor,fur_mwErdi,ll1_mord3r,ll2_morder,ro1_mord3r,ro2_mord3r,ro3_mord3r,ro4_mord3r,pm1_mordi,pm2_morde,pm3_morde,pm4_morde,pm5_mordi,lm1_piE,lm2_kENE,eg1_murse,eg2_zgENEr,eg3_muzgEr,eg4_muzgEr,li1_morde,li2_morde,li3_morde,ve1_morsegEr,ve2_mor8er,ve3_mor8Er,ito_mordere,ita_mordere,itg_morsikEre,itf_moCikE,nea_muT3kE,src_mosigEre,sro_musiEi,sc1_muTikEri,sc2_muTikEri,sc3_muTikEri,sc4_muTikEri,ca1_mus3xE,ca2_mosexE,ca3_mus3xE,ca4_mosexEr,ca5_mosexEr,ca6_mosexEr,spa_mor8er,ast_morder,por_mur8er,glg_mor8er,pr1_mordre,pr2_mErdre,fro_mordr3,fra_mordr,pcd_mord,win_ENe
qbb_EtEr,lat_EtEr,ruq_negru,ruo_negru,rup_lEiu,ron_negru,dlm_niEr,fur_neri,ll1_foSk,ll2_neiger,ro1_nEir,ro2_ner,ro3_ne3r,ro4_nEir,pm1_nEir,pm2_nEir,pm3_nEir,pm4_nEir,pm5_neru,lm1_nigEr,lm2_negru,eg1_nigEr,eg2_nEgEr,eg3_neger,eg4_niger,li1_neigru,li2_neigru,li3_nEigru,ve1_nero,ve2_negro,ve3_nero,ito_nero,ita_nero,itg_nero,itf_niru,nea_nir3,src_nigedu,sro_niedu,sc1_nivuru,sc2_niuru,sc3_niuru,sc4_niviru,ca1_nExr3,ca2_nexre,ca3_nExr3,ca4_nexre,ca5_nexre,ca6_nexre,spa_nexro,ast_negro,por_pretu,glg_nexro,pr1_negre,pr2_nEi,fro_noir,fra_nwEr,pcd_nwer,win_nwEr
qbb_sENgwis,lat_sENgwis,ruq_sonzi,ruo_s3nze,rup_sinZe,ron_sinZe,dlm_swoNg,fur_sENk,ll1_sENk,ll2_sENk,ro1_sENk,ro2_sEwNk,ro3_sENk,ro4_sENk,pm1_sENg,pm2_sENg,pm3_sENg,pm4_sENg,pm5_sEN,lm1_sENk,lm2_sENk,eg1_saNgv,eg2_sENg,eg3_sENgev,eg4_sENgov,li1_sENgwe,li2_sENgwe,li3_sENgwe,ve1_sENgwe,ve2_sENgwe,ve3_sENgwe,ito_sENgwe,ita_sENgwe,itg_sENgwe,itf_sENgwe,nea_sENg3,src_sEmbene,sro_sENguni,sc1_sENgu,sc2_sENgu,sc3_sENgu,sc4_sENku,ca1_sEN,ca2_sEN,ca3_sENk,ca4_sENk,ca5_sENk,ca6_sENk,spa_sENgre,ast_sENgre,por_saNg3,glg_sENge,pr1_sENk,pr2_sE,fro_sENk,fra_so,pcd_so,win_sE
qbb_os,lat_os,ruq_wos,ruo_os,rup_osu,ron_os,dlm_vwEs,fur_vwEs,ll1_os,ll2_os,ro1_os,ro2_ies,ro3_os,ro4_os,pm1_os,pm2_os,pm3_os,pm4_os,pm5_os,lm1_os,lm2_os,eg1_os,eg2_os,eg3_os,eg4_os,li1_osu,li2_Esu,li3_osu,ve1_oso,ve2_os,ve3_os,ito_oso,ita_oso,itg_oso,itf_osu,nea_wos3,src_osu,sro_osu,sc1_wosu,sc2_osu,sc3_osu,sc4_wosu,ca1_os,ca2_os,ca3_os,ca4_os,ca5_os,ca6_os,spa_weso,ast_gweso,por_osu,glg_oso,pr1_os,pr2_o,fro_os,fra_os,pcd_oS,win_oS
