L1,L2,Score
rup,fra,-0.065283657345497
fra,rup,-0.065283657345497
win,rup,0.022853398940141
rup,win,0.022853398940141
rup,pcd,0.053086142584648
pcd,rup,0.053086142584648
ruo,pcd,0.102125188173025
pcd,ruo,0.102125188173025
win,ruo,0.156729351802974
ruo,win,0.156729351802974
win,qbb,0.242019149581081
qbb,win,0.242019149581081
win,por,0.330424114944681
por,win,0.330424114944681
ruo,fra,0.352911559915672
fra,ruo,0.352911559915672
win,ruq,0.361943959198374
ruq,win,0.361943959198374
ruq,pr2,0.381681822603132
pr2,ruq,0.381681822603132
ruq,pcd,0.391263333777378
pcd,ruq,0.391263333777378
rup,pr2,0.448893310769563
pr2,rup,0.448893310769563
win,lat,0.491237992522421
lat,win,0.491237992522421
ruo,fro,0.605298750547875
fro,ruo,0.605298750547875
ruo,pr2,0.660439808069553
pr2,ruo,0.660439808069553
qbb,pcd,0.664377722242707
pcd,qbb,0.664377722242707
rup,lm1,0.70102535251067
lm1,rup,0.70102535251067
ruo,qbb,0.734247034222765
qbb,ruo,0.734247034222765
ron,fra,0.757582402586823
fra,ron,0.757582402586823
pcd,lat,0.768987239345608
lat,pcd,0.768987239345608
qbb,fra,0.779697346436214
fra,qbb,0.779697346436214
ruo,ca3,0.781736659986195
ca3,ruo,0.781736659986195
win,sro,0.785743783122196
sro,win,0.785743783122196
ron,pcd,0.832408922896629
pcd,ron,0.832408922896629
rup,pm5,0.834979685869941
pm5,rup,0.834979685869941
ruo,por,0.848276802459496
por,ruo,0.848276802459496
win,spa,0.878754905906794
spa,win,0.878754905906794
sc1,fra,0.911921017005054
fra,sc1,0.911921017005054
ruq,fra,0.933838957565784
fra,ruq,0.933838957565784
win,sc1,0.934673626651211
sc1,win,0.934673626651211
sro,fra,0.940281466680054
fra,sro,0.940281466680054
ruo,lm1,0.96564277656893
lm1,ruo,0.96564277656893
rup,ll1,0.966064799778942
ll1,rup,0.966064799778942
rup,ll2,0.975073594452921
ll2,rup,0.975073594452921
qbb,pr2,0.984442935531095
pr2,qbb,0.984442935531095
ruo,pr1,0.997281360326305
pr1,ruo,0.997281360326305
ruo,ca1,1.00259960321829
ca1,ruo,1.00259960321829
win,sc4,1.00398448176202
sc4,win,1.00398448176202
ruo,pm5,1.01822430512022
pm5,ruo,1.01822430512022
win,src,1.01946624416402
src,win,1.01946624416402
win,ron,1.02889960618889
ron,win,1.02889960618889
rup,pr1,1.031329470283
pr1,rup,1.031329470283
sc4,ruo,1.03999305695731
ruo,sc4,1.03999305695731
ruo,ro3,1.04292608460039
ro3,ruo,1.04292608460039
ron,pr2,1.04834761579313
pr2,ron,1.04834761579313
por,pcd,1.06477862922237
pcd,por,1.06477862922237
ruo,nea,1.09528441609267
nea,ruo,1.09528441609267
ruq,ll1,1.09725166202409
ll1,ruq,1.09725166202409
ruo,ast,1.11062395323747
ast,ruo,1.11062395323747
ruq,li3,1.11310210360975
li3,ruq,1.11310210360975
ruo,li3,1.1238143038981
li3,ruo,1.1238143038981
ruo,ca2,1.12952915966793
ca2,ruo,1.12952915966793
win,nea,1.1330930597541
nea,win,1.1330930597541
win,sc2,1.13574401383986
sc2,win,1.13574401383986
sro,pcd,1.15333175826682
pcd,sro,1.15333175826682
rup,ro3,1.17621002090999
ro3,rup,1.17621002090999
ruo,lat,1.20372380736041
lat,ruo,1.20372380736041
lat,fra,1.20663809171585
fra,lat,1.20663809171585
rup,ca1,1.20927144589537
ca1,rup,1.20927144589537
rup,ro2,1.21261827160351
ro2,rup,1.21261827160351
ruq,lm1,1.21824683057238
lm1,ruq,1.21824683057238
pr2,por,1.22566315700086
por,pr2,1.22566315700086
pcd,nea,1.24644977324491
nea,pcd,1.24644977324491
ruo,ll1,1.24699894226283
ll1,ruo,1.24699894226283
win,ast,1.24825967450193
ast,win,1.24825967450193
pr2,lat,1.24953989924327
lat,pr2,1.24953989924327
ruo,pm1,1.25058967068109
pm1,ruo,1.25058967068109
ruq,ll2,1.25493435956378
ll2,ruq,1.25493435956378
src,pcd,1.27600549838416
pcd,src,1.27600549838416
ruo,ro4,1.27782619030191
ro4,ruo,1.27782619030191
ruo,ro2,1.28799080991785
ro2,ruo,1.28799080991785
ruo,ca5,1.28965916686065
ca5,ruo,1.28965916686065
sc4,fra,1.30264237692568
fra,sc4,1.30264237692568
win,sc3,1.31207711289242
sc3,win,1.31207711289242
win,glg,1.3169124824974
glg,win,1.3169124824974
spa,ruo,1.32001632412663
ruo,spa,1.32001632412663
win,dlm,1.32335390533887
dlm,win,1.32335390533887
ruo,ro1,1.33414512928304
ro1,ruo,1.33414512928304
sc4,pcd,1.33477166632503
pcd,sc4,1.33477166632503
ruo,ca6,1.33754951905886
ca6,ruo,1.33754951905886
win,itf,1.34155195122575
itf,win,1.34155195122575
sc1,ruo,1.35059252795853
ruo,sc1,1.35059252795853
spa,ruq,1.35354108785735
ruq,spa,1.35354108785735
rup,lm2,1.3569533451784
lm2,rup,1.3569533451784
win,itg,1.3673107338656
itg,win,1.3673107338656
sro,pr2,1.36794448899941
pr2,sro,1.36794448899941
ruq,pm5,1.36938179052263
pm5,ruq,1.36938179052263
ruq,por,1.37651009547947
por,ruq,1.37651009547947
ruo,pm4,1.37741226210548
pm4,ruo,1.37741226210548
ruo,ca4,1.37935280543793
ca4,ruo,1.37935280543793
win,ll1,1.38922127606267
ll1,win,1.38922127606267
sc1,pcd,1.39458522121939
pcd,sc1,1.39458522121939
ruo,ll2,1.39591266365133
ll2,ruo,1.39591266365133
pcd,ll1,1.39938597092896
ll1,pcd,1.39938597092896
rup,ca3,1.40014597684946
ca3,rup,1.40014597684946
ruq,qbb,1.40515613976476
qbb,ruq,1.40515613976476
por,fra,1.40928658383509
fra,por,1.40928658383509
ruq,lm2,1.40933958253853
lm2,ruq,1.40933958253853
rup,fro,1.44573595359319
fro,rup,1.44573595359319
ruo,pm3,1.44712686702326
pm3,ruo,1.44712686702326
ruo,lm2,1.45053080689585
lm2,ruo,1.45053080689585
spa,pcd,1.45154442769547
pcd,spa,1.45154442769547
rup,pm1,1.45711374233136
pm1,rup,1.45711374233136
rup,ast,1.45905282275642
ast,rup,1.45905282275642
qbb,lm1,1.46347097580347
lm1,qbb,1.46347097580347
nea,fra,1.4641397404911
fra,nea,1.4641397404911
rup,pm2,1.47236017776529
pm2,rup,1.47236017776529
sro,ro3,1.47363937948674
ro3,sro,1.47363937948674
rup,ro1,1.49158623948348
ro1,rup,1.49158623948348
ruo,pm2,1.5032527773258
pm2,ruo,1.5032527773258
win,li2,1.50805916124262
li2,win,1.50805916124262
ve1,ruq,1.51374774533527
ruq,ve1,1.51374774533527
win,lm1,1.53110297731605
lm1,win,1.53110297731605
pr2,nea,1.53120979095417
nea,pr2,1.53120979095417
ruq,ast,1.53959373891581
ast,ruq,1.53959373891581
lm1,lat,1.54433237991917
lat,lm1,1.54433237991917
rup,eg4,1.55306149419164
eg4,rup,1.55306149419164
win,ito,1.55390955787377
ito,win,1.55390955787377
qbb,ll1,1.5549139546169
ll1,qbb,1.5549139546169
itf,fra,1.55634265025617
fra,itf,1.55634265025617
sc2,ruo,1.5616576483398
ruo,sc2,1.5616576483398
pcd,ca1,1.56788104686593
ca1,pcd,1.56788104686593
sc2,pcd,1.57252195078716
pcd,sc2,1.57252195078716
ruo,eg4,1.57496037421874
eg4,ruo,1.57496037421874
pcd,dlm,1.5771719420714
