L1,L2,Score
wb2,wb1,0.019760917296901
wb1,wb2,0.019760917296901
pb4,pb1,0.02205280070569
pb1,pb4,0.02205280070569
pb1,p18,0.052340773856374
p18,pb1,0.052340773856374
pb4,p18,0.057889513728085
p18,pb4,0.057889513728085
pb5,p22,0.067444835810523
p22,pb5,0.067444835810523
p20,p13,0.074165345555573
p13,p20,0.074165345555573
pb4,p22,0.08410402339736
p22,pb4,0.08410402339736
p13,p11,0.08821089212755
p11,p13,0.08821089212755
pt4,pt2,0.095475863829245
pt2,pt4,0.095475863829245
p22,p13,0.09842426908394
p13,p22,0.09842426908394
pb5,pb4,0.103043279751878
pb4,pb5,0.103043279751878
pb5,p17,0.103676947044794
p17,pb5,0.103676947044794
pb5,p20,0.104841633952925
p20,pb5,0.104841633952925
pb1,p22,0.106080697101725
p22,pb1,0.106080697101725
p14,p11,0.106460573893881
p11,p14,0.106460573893881
p22,p20,0.110048980881656
p20,p22,0.110048980881656
p14,p13,0.111183425534224
p13,p14,0.111183425534224
pb5,pb1,0.113995751711117
pb1,pb5,0.113995751711117
p20,p11,0.116112700858463
p11,p20,0.116112700858463
p22,p11,0.11671621600365
p11,p22,0.11671621600365
pb7,p22,0.117424760037885
p22,pb7,0.117424760037885
pb5,p13,0.117967047610089
p13,pb5,0.117967047610089
pb6,p22,0.119504440302599
p22,pb6,0.119504440302599
pb1,p13,0.120075193859168
p13,pb1,0.120075193859168
pt5,pt4,0.123479251372431
pt4,pt5,0.123479251372431
pb4,p13,0.125672264295906
p13,pb4,0.125672264295906
wb5,wb2,0.131157441445227
wb2,wb5,0.131157441445227
pb6,pb4,0.137351469668544
pb4,pb6,0.137351469668544
wb5,wb1,0.140850427930988
wb1,wb5,0.140850427930988
p22,p17,0.141276454843961
p17,p22,0.141276454843961
p22,p18,0.142036034044435
p18,p22,0.142036034044435
pb7,p18,0.146410623543614
p18,pb7,0.146410623543614
pb5,p18,0.14975853010115
p18,pb5,0.14975853010115
wb3,wb1,0.149930926131592
wb1,wb3,0.149930926131592
pb5,p11,0.150421934310004
p11,pb5,0.150421934310004
pb4,p11,0.150535271403007
p11,pb4,0.150535271403007
pb6,pb1,0.150847934039164
pb1,pb6,0.150847934039164
pb2,p22,0.151109221878841
p22,pb2,0.151109221878841
pb7,p13,0.151921275470929
p13,pb7,0.151921275470929
