L1,L2,Score,cluster_number
wb2,wb1,0.019760917296901,2
wb1,wb2,0.019760917296901,2
pb4,pb1,0.02205280070569,2
pb1,pb4,0.02205280070569,2
pb1,p18,0.052340773856374,2
p18,pb1,0.052340773856374,2
pb4,p18,0.057889513728085,2
p18,pb4,0.057889513728085,2
pb5,p22,0.067444835810523,2
p22,pb5,0.067444835810523,2
p20,p13,0.074165345555573,2
p13,p20,0.074165345555573,2
pb4,p22,0.08410402339736,2
p22,pb4,0.08410402339736,2
p13,p11,0.08821089212755,2
p11,p13,0.08821089212755,2
pt4,pt2,0.095475863829245,2
pt2,pt4,0.095475863829245,2
p22,p13,0.09842426908394,2
p13,p22,0.09842426908394,2
pb5,pb4,0.103043279751878,2
pb4,pb5,0.103043279751878,2
pb5,p17,0.103676947044794,2
p17,pb5,0.103676947044794,2
pb5,p20,0.104841633952925,2
p20,pb5,0.104841633952925,2
pb1,p22,0.106080697101725,2
p22,pb1,0.106080697101725,2
p14,p11,0.106460573893881,2
p11,p14,0.106460573893881,2
p22,p20,0.110048980881656,2
p20,p22,0.110048980881656,2
p14,p13,0.111183425534224,2
p13,p14,0.111183425534224,2
pb5,pb1,0.113995751711117,2
pb1,pb5,0.113995751711117,2
p20,p11,0.116112700858463,2
p11,p20,0.116112700858463,2
p22,p11,0.11671621600365,2
p11,p22,0.11671621600365,2
pb7,p22,0.117424760037885,2
p22,pb7,0.117424760037885,2
pb5,p13,0.117967047610089,2
p13,pb5,0.117967047610089,2
pb6,p22,0.119504440302599,2
p22,pb6,0.119504440302599,2
pb1,p13,0.120075193859168,2
p13,pb1,0.120075193859168,2
pt5,pt4,0.123479251372431,2
pt4,pt5,0.123479251372431,2
pb4,p13,0.125672264295906,2
p13,pb4,0.125672264295906,2
wb5,wb2,0.131157441445227,2
wb2,wb5,0.131157441445227,2
pb6,pb4,0.137351469668544,2
pb4,pb6,0.137351469668544,2
wb5,wb1,0.140850427930988,2
wb1,wb5,0.140850427930988,2
p22,p17,0.141276454843961,2
p17,p22,0.141276454843961,2
p22,p18,0.142036034044435,2
p18,p22,0.142036034044435,2
pb7,p18,0.146410623543614,2
