L1,L2,Score,cluster_number,distance_Scores
p10,ps1,10.0023821782849,1,0.567318307525033
ps1,p10,10.0023821782849,1,0.567318307525033
p23,pb1,10.003308434363,1,0.567389891862605
pb1,p23,10.003308434363,1,0.567389891862605
p10,pb1,10.018164146545,1,0.568537993711392
pb1,p10,10.018164146545,1,0.568537993711392
p21,ps4,10.0198219142021,1,0.568666111844582
ps4,p21,10.0198219142021,1,0.568666111844582
pb6,ps1,10.03380026097,1,0.569746407798798
ps1,pb6,10.03380026097,1,0.569746407798798
p10,wne,10.0344003530044,1,0.569792785028358
wne,p10,10.0344003530044,1,0.569792785028358
p14,ps2,10.0357975054637,1,0.569900761899604
ps2,p14,10.0357975054637,1,0.569900761899604
p21,p23,10.0381327824618,1,0.570081240344939
p23,p21,10.0381327824618,1,0.570081240344939
pb5,pt5,10.0399171054539,1,0.570219139120909
pt5,pb5,10.0399171054539,1,0.570219139120909
p14,pt2,10.0436908913109,1,0.570510790605959
pt2,p14,10.0436908913109,1,0.570510790605959
pb7,wne,10.0490668914052,1,0.570926266859922
wne,pb7,10.0490668914052,1,0.570926266859922
p12,pb2,10.0500957088555,1,0.571005777502178
pb2,p12,10.0500957088555,1,0.571005777502178
p10,pb2,10.0552258040634,1,0.571402249358962
pb2,p10,10.0552258040634,1,0.571402249358962
ps1,pt1,10.0586221506496,1,0.571664731005547
pt1,ps1,10.0586221506496,1,0.571664731005547
pb2,ps2,10.0661627089234,1,0.572247491952244
ps2,pb2,10.0661627089234,1,0.572247491952244
p23,pt4,10.0669587006609,1,0.572309009001998
pt4,p23,10.0669587006609,1,0.572309009001998
p23,pb3,10.0742654152792,1,0.572873697685991
pb3,p23,10.0742654152792,1,0.572873697685991
p12,pt2,10.0787686554781,1,0.573221723976117
pt2,p12,10.0787686554781,1,0.573221723976117
p11,pt1,10.0807781913661,1,0.57337702799924
pt1,p11,10.0807781913661,1,0.57337702799924
p18,pt3,10.1002796191998,1,0.574884167143803
pt3,p18,10.1002796191998,1,0.574884167143803
pb2,pt5,10.1019827894108,1,0.57501579414654
pt5,pb2,10.1019827894108,1,0.57501579414654
pt3,wne,10.1045565390299,1,0.575214702597364
wne,pt3,10.1045565390299,1,0.575214702597364
p20,pt5,10.1196858668426,1,0.576383950427414
pt5,p20,10.1196858668426,1,0.576383950427414
pb2,pt1,10.1275711419252,1,0.576993352305265
pt1,pb2,10.1275711419252,1,0.576993352305265
pb7,ps5,10.1382053460522,1,0.577815201117964
ps5,pb7,10.1382053460522,1,0.577815201117964
p11,pt5,10.1399665669292,1,0.577951314480974
pt5,p11,10.1399665669292,1,0.577951314480974
p11,p21,10.1441937808911,1,0.578278008489677
p21,p11,10.1441937808911,1,0.578278008489677
p12,pb5,10.146531516654,1,0.578458676957031
pb5,p12,10.146531516654,1,0.578458676957031
pb5,pt1,10.1576475595507,1,0.579317763969793
pt1,pb5,10.1576475595507,1,0.579317763969793
pb3,pt4,10.1608026582503,1,0.579561601128573
pt4,pb3,10.1608026582503,1,0.579561601128573
pb4,pt1,10.1633946979119,1,0.579761923098409
pt1,pb4,10.1633946979119,1,0.579761923098409
p12,ps2,10.1660591616654,1,0.57996784225758
ps2,p12,10.1660591616654,1,0.57996784225758
p19,pb8,10.169193870383,1,0.580210103606615
pb8,p19,10.169193870383,1,0.580210103606615
pb8,pt2,10.1712694899,1,0.580370514805732
pt2,pb8,10.1712694899,1,0.580370514805732
p10,pb6,10.1726491391376,1,0.580477138966254
pb6,p10,10.1726491391376,1,0.580477138966254
p25,pb8,10.1747053806789,1,0.580636052567042
pb8,p25,10.1747053806789,1,0.580636052567042
p17,pt2,10.1789103517999,1,0.580961027570527
pt2,p17,10.1789103517999,1,0.580961027570527
p19,pt1,10.1804447838659,1,0.581079613894106
pt1,p19,10.1804447838659,1,0.581079613894106
ps1,pt2,10.1831097932058,1,0.58128557521812
pt2,ps1,10.1831097932058,1,0.58128557521812
p12,p15,10.1831106768431,1,0.581285643508728
p15,p12,10.1831106768431,1,0.581285643508728
p12,pb9,10.1847839357307,1,0.581414958858865
pb9,p12,10.1847839357307,1,0.581414958858865
p19,ps3,10.1853095368355,1,0.581455579166579
ps3,p19,10.1853095368355,1,0.581455579166579
pt5,wne,10.188821898826,1,0.581727026892915
