L1,L2,Score,Cluster_number
ca6,ca5,0.039517401940479,3
ca5,ca6,0.039517401940479,3
ca5,ca4,0.084701603079128,3
ca4,ca5,0.084701603079128,3
pm2,pm1,0.093629353410276,3
pm1,pm2,0.093629353410277,3
ca6,ca4,0.098627194544493,3
ca4,ca6,0.098627194544493,3
ito,ita,0.10295902792826,3
ita,ito,0.10295902792826,3
pm3,pm2,0.105350036980769,3
pm2,pm3,0.105350036980769,3
sc3,sc2,0.108483073378797,3
sc2,sc3,0.108483073378798,3
pm3,pm1,0.118671127753545,3
pm1,pm3,0.118671127753545,3
pm4,pm2,0.120891353576084,3
pm2,pm4,0.120891353576084,3
qbb,lat,0.126349349562413,3
lat,qbb,0.126349349562413,3
pm4,pm1,0.132655913440554,3
pm1,pm4,0.132655913440554,3
pm4,pm3,0.134216568180963,3
pm3,pm4,0.134216568180963,3
ca4,ca2,0.135736750468458,3
ca2,ca4,0.135736750468458,3
ve3,ve2,0.143608802183358,3
ve2,ve3,0.143608802183358,3
ca5,ca2,0.149226544389904,3
ca2,ca5,0.149226544389905,3
ca6,ca2,0.164884670468413,3
ca2,ca6,0.164884670468414,3
sc1,sc3,0.166916457847926,3
sc3,sc1,0.166916457847928,3
ca3,ca1,0.168816895591623,3
ca1,ca3,0.168816895591624,3
sc1,sc4,0.17002743283617,3
sc4,sc1,0.170027432836172,3
itg,ita,0.17484547356572,3
ita,itg,0.17484547356572,3
ro1,ro2,0.178061346093908,3
ro2,ro1,0.178061346093909,3
li2,li1,0.183989412736274,3
li1,li2,0.183989412736275,3
sc1,sc2,0.196654072478274,3
sc2,sc1,0.196654072478278,3
sc4,sc3,0.198193598421469,3
sc3,sc4,0.198193598421471,3
eg3,eg4,0.206449607539057,3
eg4,eg3,0.206449607539059,3
ca2,ca1,0.222418254964177,3
ca1,ca2,0.222418254964179,3
itg,ito,0.230704569481437,3
ito,itg,0.230704569481439,3
ast,spa,0.234064207557917,3
spa,ast,0.234064207557918,3
ro4,ro1,0.235387599169879,3
ro1,ro4,0.235387599169879,3
ve1,ve3,0.242567566636319,3
ve3,ve1,0.24256756663632,3
li3,li1,0.254860336613764,3
li1,li3,0.254860336613766,3
sc4,sc2,0.254996925387906,3
sc2,sc4,0.254996925387909,3
li3,li2,0.258620471729671,3
li2,li3,0.258620471729671,3
ro1,ro3,0.260011556560781,3
ro3,ro1,0.260011556560783,3
eg2,eg3,0.268858425972701,3
eg3,eg2,0.268858425972703,3
ca4,ca1,0.280988625779608,3
ca1,ca4,0.280988625779611,3
ca5,ca1,0.289301056330308,3
ca1,ca5,0.28930105633031,3
ca6,ca1,0.297911566312843,3
ca1,ca6,0.297911566312846,3
ve2,ve1,0.298360655276676,3
ve1,ve2,0.298360655276676,3
eg2,eg4,0.311336252656909,3
eg4,eg2,0.311336252656914,3
ca4,ca3,0.325734095489876,3
ca3,ca4,0.325734095489877,3
ca2,ca3,0.325918375351557,3
ca3,ca2,0.325918375351558,3
pm5,lm2,0.33170945568981,3
lm2,pm5,0.331709455689812,3
ast,glg,0.340695924298868,3
glg,ast,0.340695924298872,3
ca5,ca3,0.345887875511488,3
ca3,ca5,0.345887875511489,3
pm5,pm2,0.347992317659476,3
pm2,pm5,0.347992317659481,3
ve1,ita,0.348924312528223,3
ita,ve1,0.348924312528228,3
pm5,pm3,0.3517478669167,3
pm3,pm5,0.351747866916707,3
pm5,pm4,0.3518296984527,3
pm4,pm5,0.351829698452706,3
spa,glg,0.355208280475578,3
glg,spa,0.355208280475581,3
ll1,ll2,0.355540117902266,3
ll2,ll1,0.355540117902268,3
ca6,ca3,0.356055485972138,3
ca3,ca6,0.356055485972139,3
ro4,ro2,0.356448927413217,3
ro2,ro4,0.35644892741322,3
ro2,ro3,0.360716545164591,3
ro3,ro2,0.360716545164592,3
ve3,eg3,0.362801942353748,3
eg3,ve3,0.362801942353749,3
ro4,ro3,0.367812037174826,3
ro3,ro4,0.367812037174828,3
pm5,pm1,0.367948147322199,3
pm1,pm5,0.367948147322206,3
ve2,eg3,0.376619218732328,2
eg3,ve2,0.37661921873233,2
ve2,eg2,0.386862582088714,2
eg2,ve2,0.386862582088714,2
ve3,ita,0.387909138640906,2
ita,ve3,0.38790913864091,2
itg,itf,0.388119832548467,2
itf,itg,0.388119832548467,2
ve1,itg,0.388360583865338,2
itg,ve1,0.388360583865344,2
ve1,eg3,0.392481167963943,2
eg3,ve1,0.392481167963946,2
ve1,ito,0.393646692848706,2
ito,ve1,0.393646692848714,2
lm2,lm1,0.393845599659222,2
lm1,lm2,0.393845599659224,2
ve3,eg2,0.395325586632137,2
eg2,ve3,0.395325586632137,2
eg1,eg4,0.397654103652928,2
eg4,eg1,0.397654103652933,2
ve3,eg4,0.403346119215945,2
eg4,ve3,0.403346119215951,2
pm5,lm1,0.405427326966816,2
lm1,pm5,0.405427326966821,2
pcd,fra,0.408370189068497,2
fra,pcd,0.4083701890685,2
ve2,eg4,0.408985470987722,2
eg4,ve2,0.408985470987728,2
eg1,eg3,0.411418389634272,2
eg3,eg1,0.411418389634276,2
ve2,ll2,0.411506847988634,2
ll2,ve2,0.41150684798864,2
ve3,itg,0.413086872685888,2
itg,ve3,0.413086872685892,2
itf,ita,0.413239908280489,2
ita,itf,0.413239908280491,2
pm4,li1,0.415104878889452,2
li1,pm4,0.415104878889454,2
ve1,eg2,0.417118525142062,2
eg2,ve1,0.417118525142064,2
rup,ron,0.418319050210883,2
ron,rup,0.418319050210888,2
ve3,ito,0.421270251237788,2
ito,ve3,0.421270251237795,2
eg2,eg1,0.42893658837391,2
eg1,eg2,0.428936588373911,2
rup,ruq,0.429287796375333,2
ruq,rup,0.429287796375337,2
ve2,ita,0.429895205317997,2
ita,ve2,0.429895205318,2
itf,ito,0.430646775040361,2
ito,itf,0.430646775040365,2
lm2,pm1,0.433869913741756,2
pm1,lm2,0.433869913741761,2
pm5,li1,0.434561639686003,2
li1,pm5,0.434561639686012,2
pm2,li3,0.435220431694523,2
li3,pm2,0.435220431694524,2
lm2,pm4,0.435463674381723,2
pm4,lm2,0.435463674381727,2
pm2,li1,0.435780918543848,2
li1,pm2,0.435780918543853,2
pm5,ve2,0.4368825159228,2
ve2,pm5,0.436882515922803,2
ve2,pm4,0.437648159986102,2
pm4,ve2,0.437648159986104,2
ve3,pm4,0.440752114676286,2
pm4,ve3,0.440752114676287,2
pm3,li1,0.441686035461855,2
li1,pm3,0.441686035461859,2
itf,sc3,0.442684603710465,2
sc3,itf,0.44268460371047,2
ve1,eg4,0.443367338070519,2
eg4,ve1,0.443367338070525,2
lm2,pm3,0.445684567380506,2
pm3,lm2,0.44568456738051,2
pm5,ve3,0.448183172055399,2
ve3,pm5,0.448183172055404,2
pm4,li2,0.448360862560897,2
li2,pm4,0.448360862560898,2
lm1,eg4,0.449550099003279,2
eg4,lm1,0.449550099003286,2
li3,pm4,0.451222926410097,2
pm4,li3,0.4512229264101,2
lm1,eg3,0.452884009969653,2
eg3,lm1,0.452884009969658,2
lm2,pm2,0.453416161012623,2
pm2,lm2,0.453416161012625,2
ve2,itg,0.453445473427596,2
itg,ve2,0.453445473427599,2
pm4,eg3,0.453887556722031,2
eg3,pm4,0.453887556722032,2
src,sro,0.454530216624609,2
sro,src,0.454530216624612,2
ita,sc3,0.454562521904411,2
sc3,ita,0.454562521904414,2
ve2,pm3,0.455254830298842,2
pm3,ve2,0.455254830298845,2
itf,sc2,0.456161294856709,2
sc2,itf,0.456161294856717,2
ve2,ito,0.457033515873089,2
ito,ve2,0.457033515873096,2
pm2,eg3,0.458267918960761,2
eg3,pm2,0.458267918960767,2
pm2,li2,0.458502246239578,2
li2,pm2,0.458502246239581,2
ve1,li2,0.460436677451742,2
li2,ve1,0.460436677451748,2
ve3,ll2,0.460576304476244,2
ll2,ve3,0.460576304476251,2
pm4,eg4,0.461127283419252,2
eg4,pm4,0.461127283419257,2
pm1,eg3,0.462868354283321,2
eg3,pm1,0.462868354283325,2
win,fra,0.463959253301464,2
fra,win,0.463959253301465,2
itg,sc3,0.464602239397871,2
sc3,itg,0.464602239397875,2
pm5,li3,0.464793760473482,2
li3,pm5,0.464793760473488,2
pm5,eg4,0.465176859935426,2
eg4,pm5,0.465176859935438,2
li3,pm1,0.465903869407496,2
pm1,li3,0.465903869407497,2
pm1,li1,0.466531638578664,2
li1,pm1,0.466531638578669,2
ve1,li1,0.467184543878,2
li1,ve1,0.467184543878009,2
ruq,ron,0.467819948792487,2
ron,ruq,0.467819948792489,2
lm2,li1,0.467842192002018,2
li1,lm2,0.467842192002025,2
lm2,eg2,0.46816644109077,2
eg2,lm2,0.468166441090774,2
lm1,eg2,0.468183231108647,2
eg2,lm1,0.468183231108647,2
ve2,pm2,0.468499810684859,2
pm2,ve2,0.46849981068486,2
li3,pm3,0.468623135504109,2
pm3,li3,0.468623135504111,2
lm2,ve2,0.468769390257236,2
ve2,lm2,0.468769390257239,2
pm2,ve3,0.469511901007776,2
ve3,pm2,0.469511901007777,2
pm3,eg4,0.471067354333814,2
eg4,pm3,0.471067354333819,2
eg3,itg,0.472611885199665,2
itg,eg3,0.472611885199666,2
ve2,pm1,0.472939693498041,2
pm1,ve2,0.472939693498042,2
pm5,li2,0.473810003904314,2
li2,pm5,0.473810003904321,2
ve1,pm5,0.474226815811072,2
pm5,ve1,0.474226815811072,2
eg3,ita,0.474875151236797,2
ita,eg3,0.474875151236801,2
pm3,li2,0.476350785339139,2
li2,pm3,0.476350785339141,2
pm2,eg4,0.477011423074854,2
eg4,pm2,0.477011423074863,2
eg2,ita,0.477371313826594,2
ita,eg2,0.477371313826598,2
pm5,eg3,0.4781660881954,2
eg3,pm5,0.478166088195408,2
ita,sc2,0.478631455385186,2
sc2,ita,0.47863145538519,2
pm3,eg3,0.479401071354588,2
eg3,pm3,0.479401071354589,2
