L1,L2,Score,Score_distance,cluster_number
fra,rup,0.001313672846236,1.0,1
rup,fra,0.001313672846237,1.0,1
rup,win,0.09978655027396,0.991250686227332,1
win,rup,0.09978655027396,0.991250686227332,1
pcd,rup,0.121140673402527,0.989353372688087,1
rup,pcd,0.121140673402527,0.989353372688087,1
pcd,ruo,0.143449910276397,0.987371197306023,1
ruo,pcd,0.143449910276398,0.987371197306023,1
ruo,win,0.202448254762228,0.982129195229326,1
win,ruo,0.20244825476223,0.982129195229325,1
qbb,win,0.304804497321704,0.97303484451939,1
win,qbb,0.304804497321709,0.97303484451939,1
fra,ruo,0.337970875497662,0.970088012285536,1
ruo,fra,0.337970875497664,0.970088012285536,1
pcd,ruq,0.425718011690466,0.962291680470541,1
ruq,pcd,0.42571801169047,0.962291680470541,1
ruq,pr2,0.436957274861766,0.961293072096053,1
pr2,ruq,0.436957274861773,0.961293072096052,1
ruq,win,0.446272233177399,0.96046543818089,1
win,ruq,0.446272233177399,0.96046543818089,1
rup,pr2,0.515715965178985,0.95429536357052,1
pr2,rup,0.515715965179002,0.954295363570518,1
lat,win,0.545464821719328,0.951652178085861,1
win,lat,0.545464821719342,0.95165217808586,1
ruo,pr2,0.561881177952908,0.950193585065697,1
pr2,ruo,0.561881177952912,0.950193585065697,1
por,win,0.572502300558102,0.949249898471802,1
win,por,0.572502300558133,0.9492498984718,1
ruo,fro,0.594909819071491,0.947258990767451,1
fro,ruo,0.594909819071495,0.947258990767451,1
pcd,qbb,0.636771426921506,0.943539587499511,1
qbb,pcd,0.636771426921506,0.943539587499511,1
lat,pcd,0.726437717999409,0.935572738800002,1
pcd,lat,0.72643771799942,0.935572738800001,1
ruo,ca3,0.733277600382076,0.934965015346627,1
ca3,ruo,0.733277600382092,0.934965015346626,1
lm1,rup,0.766819329219946,0.931984833211748,1
rup,lm1,0.76681932921996,0.931984833211747,1
qbb,ruo,0.779714018052259,0.930839140290592,1
ruo,qbb,0.779714018052266,0.930839140290591,1
pcd,ron,0.79046465047768,0.929883946750993,1
ron,pcd,0.79046465047768,0.929883946750993,1
qbb,fra,0.7957026630663,0.929418549406261,1
fra,qbb,0.795702663066334,0.929418549406258,1
ruo,lm1,0.828396600813448,0.926513693497853,1
lm1,ruo,0.828396600813454,0.926513693497852,1
ruo,pr1,0.842629899566171,0.92524906510412,1
pr1,ruo,0.842629899566183,0.925249065104119,1
ron,fra,0.843313563406303,0.925188321581552,1
fra,ron,0.843313563406326,0.92518832158155,1
sro,win,0.859394953016579,0.923759490341152,1
win,sro,0.859394953016587,0.923759490341151,1
qbb,pr2,0.860556126002709,0.923656320137687,1
pr2,qbb,0.860556126002735,0.923656320137685,1
ruo,ast,0.923326501634849,0.918079173146761,1
ast,ruo,0.923326501634869,0.918079173146759,1
ron,pr2,0.925249296570097,0.917908332843843,1
pr2,ron,0.925249296570111,0.917908332843842,1
ruq,fra,0.930127540832218,0.917474900909853,1
fra,ruq,0.930127540832249,0.917474900909851,1
spa,win,0.930458129904162,0.917445528075467,1
win,spa,0.930458129904162,0.917445528075467,1
rup,pr1,0.951963388032814,0.915534786193593,1
pr1,rup,0.951963388032821,0.915534786193592,1
ruo,ca1,0.953648849897456,0.915385032930656,1
ca1,ruo,0.953648849897487,0.915385032930653,1
ruo,ro3,0.96216764257961,0.914628138320816,1
ro3,ruo,0.96216764257964,0.914628138320813,1
ruo,ca2,0.977573243621135,0.913259350885232,1
ca2,ruo,0.977573243621149,0.913259350885231,1
ruo,ca5,0.984401250788019,0.912652682544613,1
ca5,ruo,0.984401250788026,0.912652682544612,1
li3,ruo,0.993146678020637,0.911875651458156,1
ruo,li3,0.993146678020644,0.911875651458155,1
sro,fra,0.993566385337471,0.911838360468966,1
fra,sro,0.993566385337507,0.911838360468962,1
win,lm1,1.00846681214184,0.910514457757239,1
lm1,win,1.00846681214184,0.910514457757239,1
pcd,lm1,1.03099413399117,0.908512905528176,1
lm1,pcd,1.03099413399119,0.908512905528174,1
ruo,por,1.03825373141797,0.907867890399041,1
por,ruo,1.03825373141799,0.90786789039904,1
ruo,pm5,1.0407173058065,0.907649001849315,1
pm5,ruo,1.04071730580653,0.907649001849312,1
ruo,ca6,1.05223293328872,0.906625838509693,1
ca6,ruo,1.05223293328873,0.906625838509692,1
ruo,spa,1.05264842696593,0.906588921902324,1
spa,ruo,1.05264842696596,0.906588921902322,1
ll2,rup,1.05558001145911,0.906328450661391,1
rup,ll2,1.05558001145917,0.906328450661385,1
ron,win,1.06585591650053,0.905415436643175,1
win,ron,1.06585591650055,0.905415436643173,1
pcd,sro,1.07310065540191,0.904771741693815,1
sro,pcd,1.07310065540192,0.904771741693814,1
ruo,ca4,1.07645766261282,0.904473471650402,1
ca4,ruo,1.07645766261283,0.904473471650401,1
lat,pr2,1.07649617035042,0.904470050238458,1
pr2,lat,1.07649617035046,0.904470050238455,1
qbb,lm1,1.08702740845214,0.903534349881431,1
lm1,qbb,1.08702740845217,0.903534349881428,1
sc4,win,1.0876523658449,0.903478822425886,1
win,sc4,1.08765236584493,0.903478822425883,1
ruo,sc4,1.0895158673456,0.903313250343792,1
sc4,ruo,1.08951586734561,0.903313250343791,1
pm1,ruo,1.09259815033386,0.903039389543692,1
ruo,pm1,1.09259815033386,0.903039389543692,1
ll1,ruo,1.09665259661945,0.902679152048316,1
ruo,ll1,1.09665259661945,0.902679152048316,1
pcd,ll1,1.10119911713545,0.902275193764498,1
ll1,pcd,1.10119911713547,0.902275193764496,1
ruo,ll2,1.10552102217314,0.901891192562764,1
ll2,ruo,1.10552102217315,0.901891192562763,1
pcd,spa,1.11788790297822,0.900792395377395,1
spa,pcd,1.11788790297824,0.900792395377393,1
rup,pm5,1.12869318618495,0.899832346116646,1
pm5,rup,1.12869318618501,0.899832346116641,1
pr2,sro,1.12906277680521,0.899799507995241,1
sro,pr2,1.12906277680521,0.899799507995241,1
ruq,li3,1.13425343752084,0.899338317863757,1
li3,ruq,1.13425343752086,0.899338317863755,1
sc1,fra,1.1437637868079,0.898493323463535,1
fra,sc1,1.14376378680798,0.898493323463528,1
lat,lm1,1.1547882200122,0.897513802728589,1
lm1,lat,1.15478822001223,0.897513802728587,1
ruq,ll1,1.15582600512148,0.897421595536245,1
ll1,ruq,1.1558260051215,0.897421595536243,1
ll1,rup,1.16785254662247,0.896353037493251,1
rup,ll1,1.16785254662251,0.896353037493247,1
ruo,pm4,1.17046540121057,0.896120885399895,1
pcd,src,1.17351095120104,0.895850288326132,1
src,pcd,1.17351095120104,0.895850288326132,1
lat,fra,1.18296254658797,0.895010514209109,1
fra,lat,1.18296254658802,0.895010514209105,1
lm1,ruq,1.18307631523431,0.895000405866484,1
ruq,lm1,1.18307631523431,0.895000405866484,1
pm4,ruo,1.18364218060761,0.894950128736035,1
sc2,win,1.1904045589188,0.89434929151832,1
win,sc2,1.19040455891882,0.894349291518318,1
win,sc1,1.19329705393935,0.894092293376479,1
sc1,win,1.19329705393938,0.894092293376476,1
lat,ruo,1.19719324057329,0.893746117248923,1
ruo,lat,1.1971932405733,0.893746117248922,1
ruo,ro2,1.20578352087855,0.892982870964777,1
ro2,ruo,1.20578352087857,0.892982870964775,1
pm3,ruo,1.20908228250826,0.892689776040433,1
ruo,pm3,1.20908228250826,0.892689776040433,1
rup,ro3,1.2143411129033,0.892222529033894,1
ro3,rup,1.21434111290332,0.892222529033892,1
itf,win,1.21659566734091,0.892022211903863,1
win,itf,1.21659566734093,0.892022211903861,1
ast,win,1.2179345995274,0.891903247797949,1
win,ast,1.21793459952742,0.891903247797947,1
glg,win,1.22300031448782,0.891453159095056,1
win,glg,1.22300031448785,0.891453159095053,1
rup,ro2,1.22322537469956,0.891433162498412,1
ro2,rup,1.22322537469957,0.891433162498411,1
rup,li3,1.22797396533612,0.891011250287228,1
li3,rup,1.22797396533614,0.891011250287226,1
ll1,win,1.23113146141138,0.890730706805408,1
win,ll1,1.23113146141139,0.890730706805407,1
pcd,ll2,1.24001648898016,0.889941272231049,1
ll2,pcd,1.24001648898017,0.889941272231048,1
li2,win,1.24222613940794,0.889744944821659,1
win,li2,1.24222613940795,0.889744944821658,1
ruo,ro4,1.24969787837185,0.889081080919939,1
ro4,ruo,1.24969787837189,0.889081080919936,1
pcd,li2,1.25014009444744,0.889041790027851,1
li2,pcd,1.25014009444747,0.889041790027848,1
lm1,ron,1.2538471401149,0.888712419072503,1
ron,lm1,1.2538471401149,0.888712419072503,1
src,win,1.25606687253242,0.888515195878467,1
win,src,1.25606687253245,0.888515195878464,1
ruo,ro1,1.26336890208108,0.887866410655902,1
ro1,ruo,1.26336890208112,0.887866410655899,1
eg4,ruo,1.26388406551057,0.887820638392447,1
ruo,eg4,1.26388406551057,0.887820638392447,1
pcd,por,1.27931945974404,0.886449203832179,1
por,pcd,1.27931945974407,0.886449203832176,1
ruo,pm2,1.28727179316647,0.885742639119588,1
pm2,ruo,1.28727179316648,0.885742639119587,1
sc4,rup,1.2899879997534,0.885501304202591,1
rup,sc4,1.28998799975342,0.885501304202589,1
pcd,ca3,1.31003741699235,0.883719913763265,1
ca3,pcd,1.31003741699239,0.883719913763261,1
pcd,lm2,1.31189844607997,0.883554561355038,1
lm2,pcd,1.31189844607999,0.883554561355037,1
lm2,ruo,1.31357037218775,0.883406010743908,1
ruo,lm2,1.31357037218775,0.883406010743908,1
