,av1,av2,bcc,bgn,bgp,bql,ckb,diq,fay,glk,gzi,hac,jdt,kfm,kiu,kmr,lrl,lsa,luz,mnj,ntz,oru,os1,os2,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,pb1,pb2,pb3,pb4,pb5,pb6,pb7,pb8,pb9,pes,prc,prs,ps1,ps2,ps3,ps4,ps5,pt1,pt2,pt3,pt4,pt5,sdh,sgh,siy,sqo,srz,tgk,tly,vaf,wb1,wb2,wb3,wb5,wne,yah,yai,ydg,zum
av1,NA,0.350221048498994,0.812033901459719,0.795137814724245,0.852368460347298,0.865321744045909,0.872459247583569,0.845208633562497,0.87746408654525,0.808781280794253,0.885917110896545,0.811840518852674,0.891270044075963,0.839601577329194,0.84184077774434,0.812279886624876,0.861400009060208,0.854236645417353,0.81183179341879,0.889975306306365,0.847129536445201,0.857133014250174,0.912293444706732,0.93233696135132,0.891484444861268,0.864272686362734,0.869316986834752,0.8526410462698,0.865953835725355,0.858569177322133,0.849108655196488,0.87112205516083,0.862940146576902,0.869879752897918,0.854582273658786,0.859840455593532,0.854476713364737,0.861983444905951,0.88393825133437,0.87038537755477,0.872200792379107,0.847662446422549,0.83908381456696,0.875192157897665,0.867643598008636,0.855506076690453,0.870186244293164,0.854153685207774,0.839872963757127,0.843598007210475,0.839981870137548,0.839469000962098,0.865476742937043,0.891357066096826,0.883272898200377,0.875599882900003,0.896270634487534,0.878204686868365,0.876333657861882,0.911394897461588,0.893711181879688,0.885636086642548,0.844216747116727,0.913489369186949,0.865409881180478,0.845298744246328,0.86810837456254,0.817882447931133,0.865797224098636,0.844300607383844,0.936226339203943,0.934141072417005,0.914499803826768,0.923843034232432,0.859540178962075,0.87809454399216,0.860625701237609,0.87500085855102,0.826579090274202
av2,0.350221048498994,NA,0.855758710099604,0.809570176658791,0.874716676793685,0.898915340851518,0.886496044046099,0.82895022163501,0.855656042557611,0.842306178200345,0.867242020295144,0.835860379315436,0.863957797122397,0.827918965829904,0.868272588632079,0.846825720948001,0.875261238154642,0.890893837384501,0.826599269678123,0.899331861757288,0.868655740766686,0.890135675011335,0.917051789736662,0.936517481316037,0.898393306077592,0.863845716791592,0.901315997096606,0.844047851903258,0.872032838937322,0.884336394919916,0.882230771069749,0.889609074336641,0.876057487991522,0.885298074861984,0.870154472421288,0.875831262437647,0.862480032424962,0.892498365116033,0.908584312466874,0.900026820692261,0.867708233320863,0.851599439700137,0.874078454467041,0.871525271838588,0.871913493192115,0.859307916459536,0.866897083431899,0.873061565413704,0.856720828746628,0.821846298173676,0.853893918125308,0.855155482815056,0.897106196827605,0.887707136259301,0.886782562776523,0.892865246394925,0.925027727795148,0.897757814193514,0.874887037095684,0.914223457660403,0.881837595401724,0.873928177140431,0.837056355454451,0.886227992108588,0.893793720405702,0.859898351307801,0.844710284493755,0.821528302699654,0.848175567817593,0.833529895327823,0.942104638332941,0.940638236922407,0.932448394172904,0.926990549183008,0.853351339419814,0.864355367376254,0.846250510600665,0.883200735466073,0.863285899429692
bcc,0.812033901459719,0.855758710099604,NA,0.582223020290898,0.315125795747789,0.803027593315106,0.750050692973526,0.734480823403133,0.748211698847263,0.720619028164807,0.854822927129575,0.779797740373269,0.796347191513078,0.749589061412149,0.799321080489944,0.682856678959942,0.709215672835544,0.808523904558627,0.677434356009505,0.837258235094088,0.77624422897604,0.801971287092449,0.885232195328829,0.931562613017989,0.920338272040275,0.866712379252994,0.884430540668549,0.877623231003562,0.871105686449732,0.88043738871704,0.8414388046315,0.896343372627337,0.883999025910691,0.866159637425679,0.8798122292932,0.888913684249681,0.869032609534884,0.872691349423525,0.904002838607742,0.901425120422803,0.877858061361016,0.849774181207629,0.87287144185114,0.876094891458421,0.889807320467186,0.863459044518225,0.863178294573646,0.865870925609438,0.877019423802113,0.681552168232286,0.778135084274083,0.734070584938106,0.876171638901991,0.883531442948284,0.882197638361868,0.888746649811389,0.897684007765121,0.838346850280977,0.818014320011532,0.843606950198398,0.829961062409285,0.829095704112428,0.646812933721373,0.856418103581073,0.791107113876649,0.809555245541245,0.763456391117602,0.691452120352725,0.836284870794313,0.774479625495837,0.898922524371474,0.899662734247549,0.874091288424833,0.881409334387346,0.824298549085122,0.867725785091067,0.824492557197117,0.8424857860181,0.690939493199459
bgn,0.795137814724245,0.809570176658791,0.582223020290898,NA,0.513056341022361,0.828900558762213,0.776487149617696,0.738299256972759,0.701676678393289,0.700824592714361,0.741861764257785,0.726391111295834,0.830555601100981,0.656821313064477,0.802416070021355,0.727215713104709,0.703033603447359,0.794572862003345,0.748477817963669,0.849126020432333,0.743742363389726,0.863201950251335,0.895697054562623,0.952179968767148,0.894539821866532,0.885847107438018,0.876403963127213,0.896840674895257,0.886118870392199,0.87978880947782,0.861871121770296,0.938630215007833,0.880307970723508,0.88769326080799,0.893242339087382,0.849987609510067,0.869718366235971,0.897987337576527,0.913936711985593,0.893421101096046,0.883429781152111,0.885424201840378,0.866468463284422,0.881624949059479,0.894236817910546,0.867683820360316,0.88217379959002,0.886359670088701,0.891364248013053,0.701138062597531,0.848935468158324,0.721678029515489,0.911561138169703,0.896226166301856,0.885957150135416,0.905825655247529,0.909180433457628,0.86664854753873,0.854897807446873,0.848578534210349,0.870379833077841,0.866750329825918,0.677446688872317,0.808608122179799,0.771981508374011,0.802885925127609,0.744596412222492,0.7033268956394,0.864514534444644,0.754920794913968,0.910443165926637,0.912928217669182,0.876874652842068,0.895367510809144,0.817226618238424,0.829577944198019,0.807907688793844,0.860477948979161,0.725656139376694
bgp,0.852368460347298,0.874716676793685,0.315125795747789,0.513056341022361,NA,0.785873882442595,0.773575203724818,0.719673447862081,0.697470616543894,0.713870439466464,0.764461067929967,0.773038842345777,0.800219094811699,0.710022802773376,0.792468325401103,0.727348594005697,0.678563298032629,0.769094725136276,0.709865454289046,0.832683845493666,0.754268903642445,0.850633868410958,0.919024833125655,0.924172853280693,0.899408766739804,0.87449978310768,0.867516320823687,0.886567610391942,0.870324343642719,0.867823557600958,0.854149318834364,0.918587472380928,0.87959993376324,0.849376311625586,0.890084248438027,0.874382637654165,0.869099221291651,0.877767966577038,0.906189684963577,0.879462054941881,0.881433219164206,0.852913220761011,0.851543200084479,0.879340510671821,0.89097397410902,0.855665366596356,0.85871183357573,0.861904690897494,0.872214225404682,0.670616279223388,0.7907949790795,0.719738713279286,0.882529494472227,0.878522582519501,0.882673169893234,0.883527645624081,0.890391087248426,0.802825844430204,0.796998796285725,0.817282281891989,0.816179375203107,0.823392845331922,0.724372212040802,0.817108770148496,0.791092120484117,0.75930714196059,0.73021430947036,0.66357396706546,0.771228695470833,0.711573603584429,0.935762717310971,0.942507642743409,0.906344187604775,0.922855748939822,0.829259142143312,0.869230510728918,0.78172733313594,0.833467821917684,0.719672607523593
bql,0.865321744045909,0.898915340851518,0.803027593315106,0.828900558762213,0.785873882442595,NA,0.739661942676037,0.795068626260176,0.532116139267889,0.779715116440467,0.703854792134576,0.892174424656607,0.770082386911201,0.636956469136401,0.853209219236626,0.803826788778605,0.536513833919316,0.669608788839275,0.411244489713445,0.91006648037092,0.714676201339272,0.922492966878901,0.966722067405619,0.946602950342822,0.929740503860549,0.888417387519723,0.918036178765668,0.894405783839624,0.859301227573183,0.892146972098985,0.881118881118883,0.917419725773995,0.905091576940551,0.911568587528668,0.901864184196008,0.902332305127283,0.888012608066829,0.921185048136944,0.935053752217932,0.909809062574672,0.904872569926089,0.885184109506014,0.890823783823028,0.905181787115949,0.905622732533445,0.88553393635713,0.896489384440013,0.898292067724718,0.895937876644037,0.588814781301536,0.748467090688203,0.67770196733522,0.91405904650881,0.911998398918488,0.892499175647314,0.917688810120306,0.926347789806885,0.848166426319167,0.866994893570293,0.88083691230319,0.870397026639401,0.863769891763671,0.709564061834322,0.813028689923755,0.743007842659466,0.639177586063809,0.70828104836571,0.705965875128056,0.762712940967238,0.766755402630452,0.914386943137599,0.905115184126453,0.866896162103126,0.878268098632613,0.867656410986345,0.862189615549895,0.7851902185172,0.917538973296199,0.772862208800059
ckb,0.872459247583569,0.886496044046099,0.750050692973526,0.776487149617696,0.773575203724818,0.739661942676037,NA,0.802283345226207,0.731988577279121,0.747499580730577,0.69331755875548,0.746741229176923,0.802374876192362,0.71687748040505,0.804407983970209,0.662006808574653,0.706520592137688,0.709756428495288,0.670938036208668,0.840967305068792,0.77184524366735,0.887788007843619,0.934971124747582,0.955854403346467,0.883637773104682,0.870537223965778,0.924034989795812,0.874983574836499,0.877064018160444,0.88608785374915,0.848981379862347,0.903663141700097,0.871951390657488,0.862540907989367,0.873334767455418,0.862328364187102,0.849343362705065,0.893492038477701,0.884497646179595,0.88494498440634,0.874983878351352,0.859387612418318,0.903530135512382,0.874570415355863,0.862547977203837,0.849626530095696,0.866314610937892,0.865993575679198,0.883930507867146,0.679982835258966,0.746389677134869,0.688596456444719,0.868099580693179,0.885272231048715,0.878865818954304,0.892469348709897,0.924186445454177,0.819845606890752,0.844542978212602,0.860507780999557,0.848330673597803,0.830323555898107,0.596188386855391,0.823377377502746,0.718003891472041,0.700850441984054,0.663134189668109,0.635039172580789,0.707508877030359,0.723498212523191,0.851392065377171,0.862954810816582,0.820840336134457,0.847862432710743,0.852247294942341,0.905074187927311,0.787668189621912,0.90835030597108,0.752707916430798
diq,0.845208633562497,0.82895022163501,0.734480823403133,0.738299256972759,0.719673447862081,0.795068626260176,0.802283345226207,NA,0.803528199166562,0.707348163987006,0.773796421496181,0.702390344798176,0.760344378774823,0.743545217966347,0.663223999986635,0.712901493002447,0.798290842595546,0.750533832342206,0.736196469670268,0.806645230701223,0.78077269742611,0.826497402438495,0.915716624561314,0.925683350163324,0.921416060770222,0.853719638785389,0.8780870834189,0.860744399229966,0.836773221480694,0.884170016165507,0.866204599446502,0.899448488050033,0.86267426571593,0.838286395649707,0.869800683950449,0.868984292246489,0.878095468893241,0.886626354982739,0.91951716585155,0.897789033292329,0.86620727331116,0.843988182899144,0.868732681948686,0.86530761747258,0.885872004198356,0.870189036021413,0.858411711426543,0.853506906960512,0.865947592705659,0.756027450159656,0.789950375344385,0.72756636808222,0.892965912905492,0.886892000984559,0.891634234733158,0.898600958491567,0.89449496997432,0.828872152609533,0.845495328792206,0.841328745358263,0.828659220003121,0.837548667954262,0.700020655206917,0.842429668942018,0.792082900897325,0.726295213074566,0.82322393775602,0.76686016310913,0.800247246001304,0.729123209567516,0.874010716216884,0.876464231991105,0.863826383662794,0.875916544749265,0.870031258498313,0.863558463679028,0.837359791615086,0.850207094692853,0.718499958111039
fay,0.87746408654525,0.855656042557611,0.748211698847263,0.701676678393289,0.697470616543894,0.532116139267889,0.731988577279121,0.803528199166562,NA,0.751638069741343,0.619625384314126,0.776621510396288,0.738863725247589,0.471713713954781,0.791395768959863,0.802768007821472,0.55715151893576,0.679941621876713,0.56834818520027,0.910644958828816,0.604897567713351,0.904052780502405,0.912977336997498,0.88135933539141,0.848807977437372,0.82361788028565,0.892691263219943,0.831094914857304,0.808996338936672,0.818331352388317,0.816381152582742,0.869273857232369,0.835011771613632,0.875040880811548,0.81971586606343,0.861874899464167,0.826074816371804,0.867895308796055,0.873427396964876,0.88029107212768,0.838683847192825,0.816749971735782,0.873107532176801,0.838178672476541,0.851192397791519,0.837551472382828,0.837393433382654,0.873649671126561,0.851264733794465,0.634428952145532,0.786097435328946,0.706017978191794,0.880066793757258,0.855118682250384,0.835573774966233,0.884562620112628,0.885406479434856,0.802381113550184,0.817027148084419,0.827550724718502,0.82215647106532,0.810916222230934,0.630641766120839,0.809129165850652,0.637011631330307,0.618699434964992,0.681006804837683,0.65848697436384,0.764803165545664,0.714850741875774,0.89442214967084,0.903966153325435,0.858305050178877,0.89319397950579,0.809029600417155,0.86723809479159,0.757264784751699,0.908429131534362,0.751542516127446
glk,0.808781280794253,0.842306178200345,0.720619028164807,0.700824592714361,0.713870439466464,0.779715116440467,0.747499580730577,0.707348163987006,0.751638069741343,NA,0.529405384763529,0.776547698490944,0.673184787027368,0.673621123455745,0.715758603978337,0.660687302764039,0.644795944797256,0.530608315665521,0.665975957538937,0.83188465393998,0.528336538537222,0.814417288035651,0.948605801175304,0.923509068918803,0.895348157993157,0.855354065620543,0.898262481818638,0.883123424539296,0.856722866777163,0.871327651726796,0.864270722097434,0.880202474690666,0.885471064388725,0.878613725406135,0.886908108428004,0.88715359779824,0.872948273125156,0.863878655208579,0.902987214424243,0.865967043473371,0.888998402920377,0.854771920061543,0.865603086905367,0.885277933030707,0.895028153063342,0.87010005841166,0.875710762040765,0.865140064501549,0.873723129483177,0.560461248656666,0.790673104180635,0.495226034359222,0.877223659235973,0.892587261604895,0.897623421171834,0.891139492161439,0.897197159123732,0.845165132565908,0.845408940289683,0.881094888645329,0.869749352424538,0.870651204281891,0.628949344742592,0.786862901851827,0.76056261161425,0.523411538516958,0.567235292584026,0.546641306442559,0.731414324122274,0.634059294482036,0.85966871162593,0.865299210184389,0.814498623538737,0.840986176183002,0.857983526820713,0.856746063254596,0.702506046711581,0.878819582236013,0.66745483685012
