,ast,ca1,ca2,ca3,ca4,ca5,ca6,dlm,eg1,eg2,eg3,eg4,fra,fro,fur,glg,ita,itf,itg,ito,lat,li1,li2,li3,ll1,ll2,lm1,lm2,nea,pcd,pm1,pm2,pm3,pm4,pm5,por,pr1,pr2,qbb,ro1,ro2,ro3,ro4,ron,ruo,rup,ruq,sc1,sc2,sc3,sc4,spa,src,sro,ve1,ve2,ve3,win
ast,0,0.66162687006288,0.589942616457225,0.669808434242214,0.544366020169749,0.522301282742195,0.520110705224618,0.720637824697196,0.733984395959829,0.652545670656471,0.653489365151563,0.667826253512074,0.779614619300891,0.721193645992992,0.688576160413191,0.340695924298868,0.539050515265931,0.643232287587296,0.569821608582918,0.553230352898443,0.724716831535444,0.663417734161386,0.669718005188171,0.722395806771967,0.688957709079845,0.618106150184103,0.724381166955194,0.709400121648614,0.697279670277882,0.790432470980351,0.718143993990861,0.713777021493017,0.703333616028116,0.692761137133989,0.708333316869806,0.623017853021712,0.698528135601649,0.785092728667163,0.737248904746691,0.725991122828248,0.7349405646319,0.71178235616745,0.731529096812787,0.76258722782293,0.823793404397676,0.774153079228484,0.79507478252651,0.662600445626609,0.68199454545153,0.654376204403053,0.687106241327943,0.234064207557917,0.669144755989413,0.717009743784248,0.564684885941416,0.580258684829495,0.579127645283013,0.817249942526233
ca1,0.661626870062889,0,0.222418254964179,0.168816895591624,0.280988625779611,0.28930105633031,0.297911566312846,0.75595083044924,0.681565614543819,0.64260203323419,0.638787823332867,0.634507017255318,0.721254569098054,0.618463134949961,0.646325328559442,0.653214622244734,0.674815906865378,0.689810751109069,0.686082004519625,0.68491058351483,0.752376729015606,0.711591663265525,0.705616076836974,0.735298387902936,0.68648055880728,0.659741808224629,0.665835931762656,0.664473002163829,0.642532024648558,0.767401322077905,0.673431479823032,0.663945988474411,0.658690634134364,0.661522194439962,0.63763041006494,0.699736576391634,0.628339320574602,0.734263066083147,0.755061097740329,0.629979422110956,0.671972030547997,0.648574761378131,0.617174043064824,0.71858021236955,0.812380997752842,0.772673560352636,0.743814234048247,0.745596680369834,0.730393668250409,0.71744926505568,0.744573270247964,0.675663735898076,0.776470380165988,0.725878054973882,0.652824317871224,0.651622309599407,0.647673710932029,0.709277728089144
ca2,0.589942616457229,0.222418254964177,0,0.325918375351557,0.135736750468458,0.149226544389905,0.164884670468414,0.731995247384234,0.666691241196769,0.616437641984129,0.626959376684572,0.626015590404646,0.743526332819742,0.664672340259177,0.646518886843876,0.593655447893129,0.61393511306281,0.643182201049601,0.62463079973487,0.620841039985352,0.715045145532388,0.680180687217478,0.669349554301567,0.712998109805805,0.674493447256356,0.626186901542715,0.645584494860393,0.652302502456835,0.681902844632773,0.761108139576167,0.673028508415666,0.666486634237812,0.658578251537165,0.632691503447139,0.616388820772358,0.702747116674586,0.597199446598369,0.728594516128206,0.722371360502546,0.68798516411693,0.715266248051994,0.689784583464103,0.676995613168984,0.736815096495125,0.804286996406625,0.766047000208036,0.754855490002043,0.709741875326154,0.688932314623704,0.679387780604419,0.701329666758038,0.606165586200715,0.723473308867984,0.68867252686324,0.61202010156484,0.600656017285965,0.58228143567554,0.734317293279084
ca3,0.669808434242219,0.168816895591623,0.325918375351558,0,0.325734095489877,0.345887875511489,0.356055485972139,0.761287066205071,0.666404323507664,0.633980688968866,0.615331457482729,0.623854807740309,0.717983519462914,0.620884725628126,0.635918119245447,0.669993365254716,0.659362020463494,0.658695760116239,0.659360425664134,0.661898680586921,0.74067663162702,0.695165663267926,0.69878869961782,0.727749889585665,0.678733727943192,0.641948954741028,0.65258019191159,0.666184426754282,0.636576177205916,0.752486181128966,0.654236881941595,0.640822939407436,0.643815381605815,0.642353510108901,0.634584969556253,0.696507439788004,0.605595833940714,0.725756267435379,0.752672538085857,0.637795362515709,0.685912928885429,0.653855694465013,0.624946685626793,0.710202789909537,0.812725358041845,0.756704896149136,0.739307792265862,0.740629571436993,0.705631063134762,0.698616495280376,0.741420980885794,0.688669840789168,0.763097781330796,0.72739904181039,0.642546303407188,0.635640687749494,0.632026406392463,0.720269943868751
ca4,0.544366020169752,0.280988625779608,0.135736750468458,0.325734095489876,0,0.084701603079128,0.098627194544493,0.691705659211354,0.651376993286531,0.553110407434465,0.563399933082002,0.567763389097788,0.727183290520633,0.621654293683583,0.632279575536212,0.5420660453038,0.565609659568475,0.63531251449167,0.580645320193044,0.584902835449716,0.712184241851226,0.679086205279633,0.671443618715722,0.715608458463429,0.668740538658752,0.580514248353338,0.632698438868105,0.632863400571153,0.665411054038853,0.735755063336831,0.649382553700303,0.651937174598423,0.643619357939365,0.615772412333812,0.612843072560293,0.63630285001669,0.574547301031965,0.719256851598072,0.729016468169616,0.646247393848192,0.683563938845827,0.651604680391702,0.633825968351545,0.731373685388387,0.798341550922857,0.750709493299534,0.733112657797686,0.66479077714131,0.648347041512993,0.63155835293717,0.662151406786666,0.558222744936131,0.687290971807598,0.695577711153845,0.56431428356617,0.533068522484199,0.514768102571744,0.735477561144609
ca5,0.522301282742199,0.289301056330308,0.149226544389904,0.345887875511488,0.084701603079128,0,0.039517401940479,0.700675931671046,0.660035366834424,0.558401555308144,0.560997668964318,0.567287561430632,0.738783792521137,0.627900807701749,0.640394553034182,0.509921292101773,0.57570651218546,0.639169379520064,0.598532420700558,0.581564029959875,0.715389306634604,0.673843109251241,0.6742635262616,0.712417572193064,0.662874535997892,0.579572680274403,0.622306213189888,0.639384176521714,0.675265418676113,0.745815863626628,0.667491564695508,0.658557590798804,0.649173746874154,0.623938464775816,0.615812884218718,0.645248341391896,0.5890710250326,0.730744982814371,0.723520560520322,0.651291042483843,0.679215331891754,0.65191045503304,0.639908060898846,0.733406573156354,0.799289011146304,0.753434640564119,0.733593379588138,0.668078950395181,0.647824034612849,0.628940989570868,0.661737688252508,0.543103578041031,0.691794830087251,0.687322764977524,0.557945908435764,0.528351598442948,0.515497814174001,0.744325143096631
ca6,0.520110705224621,0.297911566312843,0.164884670468413,0.356055485972138,0.098627194544493,0.039517401940479,0,0.711694000932379,0.664694420259803,0.563026000142215,0.567607431334433,0.575391241522208,0.735591439737682,0.634046067565062,0.639898813584493,0.521615064251192,0.580087453377991,0.644249426831932,0.604392443043938,0.59029610423396,0.717907996254636,0.685951871169409,0.677612476961979,0.719207096342042,0.663588600298672,0.577769887260895,0.632742143128502,0.650097011321028,0.669941489584837,0.746089570797981,0.668142524488062,0.661035723616817,0.652805532792157,0.628407850234996,0.6224621600053,0.649342595556943,0.58895448136795,0.72943713239721,0.727491721165964,0.6527421356559,0.684546850918449,0.652983013494124,0.638657415325371,0.727820750614316,0.797742305132495,0.752478938249342,0.740012534631409,0.669786648867661,0.653086350903271,0.634974015248443,0.668521727378474,0.531891404337485,0.68705754902779,0.684461592112218,0.573016978886828,0.53814657804646,0.525258969010562,0.748236235231103
dlm,0.720637824697208,0.75595083044924,0.731995247384245,0.761287066205077,0.691705659211363,0.700675931671054,0.711694000932387,0,0.678418586823445,0.662960903940221,0.67658731548698,0.674230044544445,0.761730902762239,0.689913272562533,0.615350448330035,0.741834919255112,0.662199581719149,0.731694598287248,0.703379869913082,0.673886953547697,0.768026305156951,0.728465102820837,0.736735100830189,0.756141855245443,0.720104828881845,0.670183161855572,0.708831414354788,0.685863460655636,0.738870610331423,0.799363366543817,0.661284374148574,0.651994138504664,0.671722120460444,0.662913143961935,0.701116933321049,0.783437387691451,0.706576208138042,0.780625361070784,0.794758046229285,0.75574622589783,0.745114669198049,0.74182771808598,0.737592466437361,0.749510002558885,0.770880680606525,0.774636822114369,0.74134778646104,0.729073934468753,0.719315470346687,0.710736972017215,0.764288306341947,0.747473300322442,0.800675281338907,0.810445102504058,0.685847952351962,0.646972104807569,0.635261538149203,0.80687669712709
eg1,0.733984395959836,0.68156561454381,0.666691241196771,0.666404323507658,0.651376993286533,0.660035366834425,0.664694420259802,0.678418586823437,0,0.428936588373911,0.411418389634272,0.397654103652928,0.719753798060836,0.662851027450664,0.598297605898747,0.6854919064759,0.546733738205796,0.559696721448801,0.54220911404059,0.573037401076468,0.726531930457114,0.5918795466485,0.607325875516337,0.625318387446493,0.626827160662489,0.584157185278336,0.553520330820686,0.538373594163073,0.636106352801425,0.723236321399999,0.53173962075765,0.503210094807633,0.523243910576364,0.5203602282865,0.529003464278743,0.687022938859527,0.670262628556558,0.738401766746435,0.74859806377501,0.682586719036276,0.701999937392026,0.683103802129924,0.658800254974761,0.714761382374159,0.760536338773574,0.773958380995861,0.767758204764374,0.695004250713189,0.648100511400531,0.624243590668696,0.679896434785901,0.752068964046291,0.71649625664495,0.730537463085519,0.530910765250693,0.499839573708351,0.483796461329335,0.733504640654767
eg2,0.652545670656478,0.642602033234181,0.616437641984128,0.633980688968861,0.553110407434465,0.558401555308143,0.563026000142213,0.66296090394021,0.42893658837391,0,0.268858425972701,0.311336252656909,0.715505015524019,0.634889060865885,0.558140198791457,0.60058693464424,0.477371313826594,0.519555363255669,0.489753106874155,0.50788602262173,0.685908966888457,0.556944161834635,0.581336736265244,0.590284730124006,0.598418420557906,0.500836680988846,0.468183231108647,0.468166441090774,0.570835551858581,0.728759774898091,0.503523829229766,0.496259810095828,0.520092654583156,0.487125116005921,0.487265968033449,0.654161481265731,0.651770471473006,0.721200092616701,0.706757392707406,0.591195195266186,0.628590632536749,0.623014119193284,0.578830228385625,0.711325777772037,0.759004212480952,0.753078110354876,0.74823914630424,0.579935445401687,0.560662277425748,0.52124467363853,0.58815322426664,0.654399814945074,0.656572290936348,0.674200994141707,0.417118525142064,0.386862582088714,0.395325586632137,0.727666371446837
