,ast,ca1,ca2,ca3,ca4,ca5,ca6,dlm,eg1,eg2,eg3,eg4,fra,fro,fur,glg,ita,itf,itg,ito,lat,li1,li2,li3,ll1,ll2,lm1,lm2,nea,pcd,pm1,pm2,pm3,pm4,pm5,por,pr1,pr2,qbb,ro1,ro2,ro3,ro4,ron,ruo,rup,ruq,sc1,sc2,sc3,sc4,spa,src,sro,ve1,ve2,ve3,win
ast,NA,0.64600337165534,0.682009504950499,0.690815289325889,0.653740447076589,0.656541772762576,0.651026748459896,0.751929234774853,0.761612853122382,0.717510572659897,0.713136201008272,0.723557271383965,0.836562531982012,0.762607576443307,0.728416438161211,0.569826885943868,0.670499598211031,0.739007407027636,0.710556417179484,0.702475857821123,0.758744956913482,0.716676364872353,0.740768737447873,0.77228285148536,0.732402317883005,0.736947337961819,0.817422996741505,0.780299444704023,0.480834198686151,0.882785544448531,0.778212370492361,0.762087576541096,0.755640656197184,0.756506899211192,0.757345803141728,0.414519816017935,0.713830887536336,0.856037962723803,0.783471905447814,0.744432140038402,0.770272771031756,0.76448919410785,0.754705187092596,0.821972986812119,0.918079173146759,0.880450269081803,0.839390661904969,0.58574957646162,0.658239295609232,0.629568872597655,0.63528328249823,0.51624425187689,0.748822148286132,0.76473031538046,0.708851772616081,0.675535866816609,0.698080972452052,0.891903247797949
ca1,0.646003371655333,NA,0.343087470967695,0.466473839693603,0.448786752432468,0.460766144608228,0.446539266876391,0.742813891641788,0.694969286451055,0.694805552741314,0.664837632117287,0.675746153336908,0.79605966549853,0.698591004955021,0.693016534452346,0.644188917441188,0.593745520472764,0.6821264584224,0.630269745683342,0.619007960175757,0.789006465987499,0.694591195438017,0.694699280144096,0.714968513007613,0.767074868332519,0.722291231262322,0.752285898097868,0.727658817838544,0.639005647375462,0.878620180601279,0.752131228183962,0.730581926065075,0.70556512284073,0.711669483132946,0.679022532801678,0.643133664507156,0.625002876734295,0.833564547985523,0.819581571831251,0.700777783705143,0.721474015416381,0.740106020307382,0.697977311504518,0.768568273350893,0.915385032930653,0.879318816651979,0.797051622597289,0.521283632350624,0.538053417747762,0.526135610955916,0.477437352921345,0.656017309217787,0.671414253772359,0.698873701250416,0.602642775946816,0.665056868708612,0.663399017475692,0.804498636213332
ca2,0.682009504950496,0.343087470967695,NA,0.373444768647025,0.389172402263502,0.401909588586594,0.397846916826183,0.749997099032547,0.734898882498439,0.722043849230012,0.71167494352649,0.710313549177932,0.828175199987439,0.707163304197484,0.736403651536047,0.688365262167509,0.676902286522526,0.714118821526767,0.693473852102848,0.689577145992976,0.77090737026983,0.721255356760263,0.743714054399281,0.770426082099736,0.764421868695809,0.755665401739585,0.782134077744398,0.773660463603918,0.410301283163729,0.876525792127084,0.770303616619372,0.766025544476578,0.755143759026645,0.747699530098487,0.719616437718984,0.561647935987119,0.676741749466378,0.84994929201548,0.773794379311657,0.73354683252595,0.749132262579694,0.77055373211857,0.717025602039306,0.808814670126624,0.913259350885231,0.835326218782955,0.823837469881801,0.593601959869176,0.641262109117512,0.633632889646254,0.628660570453763,0.619979118275317,0.749104131662347,0.725608759598954,0.690975087618538,0.705034881738335,0.707887535341536,0.833891340681305
ca3,0.690815289325889,0.466473839693599,0.373444768647025,NA,0.448515719981093,0.448198918269856,0.454431736817978,0.804409605754123,0.747244158764144,0.739941947281255,0.697726406180474,0.707643135022199,0.827686177630675,0.733155037256616,0.747036111506104,0.713896479557068,0.679352454156497,0.736671865222297,0.695338312529649,0.683425821287732,0.834682901167284,0.746997314496293,0.758303415848071,0.789669093532305,0.813881933576175,0.750364787556543,0.782290676417258,0.793249463587456,0.72962412932248,0.883719913763261,0.77815797908764,0.759175949313226,0.753109942475215,0.759914454431056,0.738343652893377,0.715840898800996,0.672369323905862,0.870009538000523,0.846218573823177,0.754395467987814,0.773458987602517,0.787859305216527,0.753345603144441,0.799169351172199,0.934965015346626,0.873566476080569,0.854827635882439,0.726858967553531,0.721623166781249,0.726959823470171,0.758340474708865,0.622970843239647,0.788224391095023,0.79785373075336,0.699679133677372,0.723059523165008,0.737810550723019,0.844601250927677
ca4,0.653740447076589,0.448786752432468,0.389172402263502,0.448515719981089,NA,0.397486950718244,0.394870641314257,0.733749038465221,0.746153912008367,0.704778466201281,0.701967535839623,0.699375571514042,0.829602198116333,0.705323726508199,0.744974253549469,0.665097038151735,0.660008480547924,0.723525278965011,0.66854102484896,0.681401409029226,0.782088948052015,0.734137698280217,0.748083456803118,0.790602525497792,0.783759447711289,0.742493299549343,0.787860400385519,0.775010731512979,0.501583571838917,0.868718396859848,0.770473250183068,0.770197260715282,0.7696154235881,0.758176895458838,0.734146442037658,0.567514963141627,0.694220553515287,0.851344144503041,0.785739180332169,0.743819382205803,0.751770338372536,0.767760294713996,0.726959217186399,0.806539386817488,0.904473471650401,0.8379963402315,0.819566996229747,0.601834220763291,0.634262253799567,0.626267056214939,0.625027825435757,0.598756597617142,0.72882206605036,0.748020086658505,0.694243285640064,0.691570209448006,0.694226866863744,0.844353294735143
ca5,0.656541772762576,0.460766144608224,0.40190958858659,0.448198918269852,0.397486950718244,NA,0.369919364581685,0.7524985161088,0.743246036876999,0.698599510920885,0.693728458807242,0.694969061077915,0.830154386784334,0.701863974638245,0.745063813599743,0.651630873193253,0.678258710139895,0.728843011242036,0.695046084985737,0.68062848920074,0.791276146457168,0.715832314409545,0.740001480463399,0.776304263898483,0.765477871644248,0.743490149153074,0.777337675775087,0.772007624090536,0.50567523315333,0.865742059828897,0.777628753485116,0.760909023008007,0.756675516572411,0.745371179930927,0.730524913377431,0.566318014912806,0.692545638556136,0.849802298996111,0.795582886836524,0.738939873266388,0.753674823097419,0.769466526584406,0.728411830555587,0.820189216544342,0.912652682544612,0.83873935760732,0.813730204470738,0.586975671803446,0.626315283048652,0.616331821343716,0.616242248141987,0.603899600832778,0.745054593649398,0.750264592013853,0.679986981741102,0.681102492424704,0.684457702616796,0.843367481344881
ca6,0.651026748459896,0.446539266876391,0.397846916826183,0.454431736817978,0.394870641314253,0.369919364581681,NA,0.760883630093152,0.746285068371424,0.702029017582811,0.69458207237604,0.699517962997573,0.831685682731355,0.714409311958908,0.733550198230784,0.660789259862846,0.671669229647116,0.727216116084726,0.690292610937264,0.679621085496071,0.790400436461596,0.725058596360043,0.742013353967685,0.782452338832022,0.758312672513825,0.73410203148599,0.780833541380011,0.780588486614383,0.446163208881153,0.866357886787246,0.770193416995422,0.763926293158974,0.753414462390995,0.742033900645731,0.73728948207109,0.540272220879292,0.67320056894858,0.84768656894934,0.793776151235444,0.739237367146936,0.761487033274946,0.770230811608258,0.728681485543396,0.804400738112357,0.906625838509692,0.837021103475345,0.822262971860905,0.57387112469737,0.620075701918765,0.612450555267508,0.606253760701751,0.578576615902379,0.727823212245845,0.741473768431982,0.688124233848717,0.688699027562312,0.690475415416293,0.843329159343002
dlm,0.751929234774856,0.742813891641791,0.749997099032549,0.804409605754127,0.733749038465222,0.752498516108801,0.760883630093154,NA,0.742850113539029,0.725685456051537,0.735967103165379,0.74252982191303,0.854091534872927,0.742670172124738,0.675374661152639,0.779876324980387,0.582072363200479,0.730696264102651,0.660470329782929,0.645694176462833,0.759585012434325,0.724976816613528,0.753693985478175,0.796258768005876,0.73706608480953,0.710208747446995,0.812936749342981,0.748856629345203,0.468163773902735,0.882172948134203,0.745676781183746,0.715056503431631,0.724742160921899,0.722257338718673,0.764648889050879,0.728393757203413,0.784756066505362,0.856609097869453,0.784320261397009,0.723900424965559,0.727822935036575,0.73711504592891,0.739250864558146,0.58206689813786,0.700605787946637,0.61517959937064,0.700165252968415,0.673186722765681,0.655380537860382,0.65477816698087,0.740036726562507,0.776319950348149,0.685700220705848,0.748740210160181,0.733567499501838,0.725614644510828,0.68771024098849,0.882179928442427
eg1,0.761612853122388,0.69496928645107,0.734898882498445,0.747244158764156,0.746153912008367,0.743246036876999,0.746285068371424,0.742850113539029,NA,0.597164530179413,0.586260986790583,0.604566572568267,0.837162417585911,0.79261951126654,0.712383608971189,0.744984905163945,0.579936116976653,0.627055171817239,0.571141570324228,0.592588407772188,0.794528808405995,0.632744951275598,0.624942718099159,0.673016128506827,0.72973071009518,0.702906136985389,0.707451068204312,0.694541285866316,0.379834852583848,0.87981091261675,0.708293573369695,0.66159121934366,0.654969102304505,0.667515895609698,0.634839355475108,0.649501031326737,0.791574735162124,0.864928219178455,0.801840050881655,0.747721518504809,0.780750192397056,0.80067929272877,0.751835575375482,0.771947294151297,0.855199130788692,0.80777309329827,0.822255347659716,0.557957033618522,0.568282952667172,0.549783059449303,0.59112227683493,0.778176307254447,0.710424307388272,0.735935132499551,0.564058824685574,0.59343542286929,0.5729489357506,0.875808978761625
eg2,0.717510572659893,0.694805552741314,0.722043849230012,0.739941947281256,0.704778466201281,0.698599510920883,0.702029017582809,0.725685456051536,0.597164530179413,NA,0.572089979343718,0.589904203844168,0.83098067627619,0.768901914632062,0.7053892799715,0.696445652099987,0.541892210372943,0.632411075344341,0.575101333148639,0.579079256181201,0.790480088637033,0.624749893349082,0.675077723253539,0.676113234668718,0.707724521154652,0.677706253119485,0.686929734132236,0.672901678402847,0.403201960538492,0.871289613100541,0.713637455102681,0.687999740204192,0.681939202810436,0.679729483873502,0.662703842761826,0.633363517491664,0.756756619474886,0.852373437124462,0.79653399099001,0.69682301965523,0.735180140596299,0.754852014356636,0.724687395949478,0.791404254017347,0.871309561594534,0.828576748709313,0.83227914885003,0.576589203085669,0.589605731431267,0.566160236320431,0.605215835841349,0.722645698592237,0.692054026654997,0.741804208515945,0.556038608517452,0.584106528308346,0.589711241889173,0.852971113869341
