,ast,ca1,ca2,ca3,ca4,ca5,ca6,dlm,eg1,eg2,eg3,eg4,fra,fro,fur,glg,ita,itf,itg,ito,lat,li1,li2,li3,ll1,ll2,lm1,lm2,nea,pcd,pm1,pm2,pm3,pm4,pm5,por,pr1,pr2,qbb,ro1,ro2,ro3,ro4,ron,ruo,rup,ruq,sc1,sc2,sc3,sc4,spa,src,sro,ve1,ve2,ve3,win
ast,0,21.0144805370142,21.4197268960712,21.5188353459432,21.1015607468915,21.1330894596658,21.0710182702812,22.2066682681228,22.3156566742275,21.8192887794296,21.7700555510112,21.8873439249837,23.1592097495152,22.3268522114091,21.9420334865756,20.1571198416219,21.2901837496017,22.061234055457,21.7410202754041,21.6500741792967,22.2833787151564,21.809899832668,22.0810576986693,22.4357467142297,21.9868942671446,22.0380481309512,22.9437957002844,22.5259728761803,19.1555137486196,23.6794463256882,22.5024830107614,22.3209996510869,22.2484400408926,22.2581895417515,22.267631343254,18.4091502913412,21.777874196348,23.3784042776941,22.5616786864969,22.1222890230495,22.4131234078458,22.3480296786324,22.2379114055199,22.9950055009799,24.0766734983651,23.6531629746823,23.1910401419882,20.3363285421456,21.1521949533712,20.829511469343,20.8938267288402,19.5540512703226,22.171698240197,22.3507434806676,21.7218346273052,21.3468665791328,21.6006100705103,23.7820654004726
ca1,21.0144805370142,0,17.6051845471383,18.9938889735077,18.7948221185321,18.9296492887574,18.7695268353323,22.1040757573983,21.5655882754151,21.5637454646589,21.2264587412598,21.3492333383183,22.703352992022,21.6063504484935,21.5436101965381,20.9940589894425,20.4263222987975,21.421043198721,20.8373997439269,20.7106491835149,22.6239697547797,21.5613328891128,21.5625493744612,21.7906780866304,22.3771312502081,21.8730947373381,22.2106824873636,21.9335065260494,20.935721669383,23.6325654646024,22.208941688957,21.9664058922829,21.6848436279097,21.7535477501356,21.3861087461301,20.9821821959558,20.7781215246375,23.1254676620456,22.9680903027816,21.630962481096,21.8638970336187,22.0735988664179,21.5994433742361,22.393939412899,24.0463511501025,23.6404285615235,22.7145173955784,19.6107691236989,19.7995118142469,19.6653777829487,19.1172825015379,21.1271866613775,21.3004781300891,21.6095321743259,20.526460249099,21.2289262328307,21.2102672401949,22.7983329813568
ca2,21.4197268960712,17.6051845471383,0,17.9468536804082,18.1238670299787,18.2672231171139,18.2214980478472,22.1849222236821,22.0149929166792,21.8703104709169,21.7536092064598,21.7382868140643,23.0648109501457,21.7028310405159,22.0319289805635,21.4912604720353,21.3622455315526,21.7811148720494,21.5487572727676,21.5049001345851,22.4202657751915,21.8614360466656,22.1142070224537,22.4148489125423,22.3472719361145,22.2487185501365,22.5466215349441,22.4512516364234,18.3616710170266,23.6089932777014,22.4134705726461,22.3653211880555,22.2428475001014,22.1590632557786,21.8429901344422,20.0650663666289,21.3604386988954,23.3098767405709,22.4527588477792,21.9997756945431,22.1751885535647,22.4162856040343,21.8138304710733,22.8469096228581,24.0224267563789,23.145295136178,23.0159901196091,20.4247065348544,20.9611179788901,20.8752516797285,20.8192885960975,20.7215794958784,22.1748719421769,21.91043327265,21.520633863872,21.6788758036391,21.7109822083139,23.1291456895929
ca3,21.5188353459432,18.9938889735076,17.9468536804082,0,18.7917716683989,18.7882060886415,18.8583559990077,22.7973309501433,22.1539380851931,22.0717522366809,21.5966194534278,21.708231500851,23.0593070397993,21.9953660678528,22.1515965287382,21.7786124296753,21.3898219865028,22.0349477057043,21.5697416365528,21.4356674313748,23.1380546441393,22.151159871271,22.2784092032217,22.6314275786383,22.9039412970587,22.189060530742,22.5483840413896,22.6717243779928,21.9556259610009,23.6899625830076,22.5018708395364,22.2882295026415,22.2199570456974,22.2965413229554,22.0537635519177,21.8004967240154,21.311227373588,23.535653320927,23.2678877840866,22.2344255399727,22.4489840389745,22.6110585454066,22.2226093890466,22.7383522735815,24.2667223996179,23.57568639514,23.3647821388848,21.9245042704299,21.8655757211652,21.9256393962895,22.2788262979507,20.7552511384054,22.6151675598845,22.7235450633691,21.6185972565388,21.8817418057057,22.0477635265395,23.2496849348818
ca4,21.1015607468915,18.7948221185321,18.1238670299787,18.7917716683989,0,18.217446656007,18.1880002877608,22.0020515073886,22.1416674388387,21.6759898657922,21.6443530531057,21.6151806869108,23.080871708222,21.6821267300954,22.1283904703989,21.229378336933,21.172106998606,21.8869838526818,21.2681401517119,21.41288282159,22.5461136036044,22.0064258447729,22.1633843223569,22.6419332861615,22.5649149533405,22.1004675171816,22.6110708714524,22.4664488015678,19.3890464041243,23.5211216231743,22.4153797858209,22.4122735448358,22.405725011134,22.276985225627,22.0065242551143,20.1310993219968,21.5571613417692,23.3255757018388,22.5871966971185,22.1153924791022,22.2048799009027,22.384845673282,21.9256325726106,22.8213014780098,23.9235423373872,23.1753471549936,22.967926255468,20.5173600204925,20.8823351265836,20.7923497709068,20.7784023204216,20.4827216003016,21.9465987983757,22.1626710960805,21.5574171901471,21.5273319159125,21.5572323980377,23.2468942063299
ca5,21.1330894596658,18.9296492887574,18.2672231171139,18.7882060886414,18.217446656007,0,17.9071755191913,22.2130754873032,22.1089395199612,21.6064461825083,21.5516228523371,21.5655857388572,23.0870865507152,21.6431874794671,22.1293984621206,21.0778176493371,21.3775119787373,21.9468345349541,21.5664526372255,21.4041836662608,22.6495148400855,21.8004001073265,22.0724222782294,22.4810074126036,22.3591571709577,22.1116869855185,22.4926383866093,22.4326490503192,19.4350977486707,23.4876231706959,22.4959144446415,22.3077351185051,22.2600873176428,22.1328578473755,21.9657642187131,20.1176277584792,21.5383102981605,23.3082223450429,22.6979868835518,22.0604739679843,22.2263147351936,22.4040491864036,21.9419816283161,22.9749292989483,24.015598749212,23.1837097604363,22.9022335972333,20.3501281542578,20.7928925603424,20.6805294394945,20.6795212997542,20.5406057199506,22.1292946922634,22.1879328373422,21.396963547394,21.4095185373817,21.4472811791814,23.2357989497569
ca6,21.0710182702812,18.7695268353323,18.2214980478472,18.8583559990077,18.1880002877608,17.9071755191912,0,22.3074493231322,22.1431435939749,21.6450450255641,21.561230209727,21.6167832924944,23.104321172997,21.7843843203126,21.9998135753013,21.1808946118719,21.3033478646436,21.9285239506528,21.512952639455,21.3928454123008,22.6396587890514,21.904241226211,22.0950657652656,22.5502035398746,22.278513386308,22.0060244176499,22.5319840946456,22.5292260214383,18.7652943304944,23.4945542574259,22.4122302840539,22.3416942702126,22.2233843947582,22.0952970166027,22.0418989375184,19.8244842788863,21.3205829748764,23.2844099603257,22.6776522083976,22.0638222395397,22.3142405811788,22.4126511576472,21.945016575199,22.7972311454931,23.9477670667113,23.1643709376527,22.9982692611909,20.2026374487634,20.7226665376201,20.6368460777455,20.5671016146283,20.2555974031904,21.9353567729076,22.0889927700914,21.4885477161884,21.4950169767928,21.5150100903048,23.2353676384687
dlm,22.2066682681228,22.1040757573984,22.1849222236821,22.7973309501433,22.0020515073886,22.2130754873032,22.3074493231322,0,22.1044834321646,21.911296485534,22.0270156610377,22.1008785736754,23.3564973766317,22.102458204896,21.3450522213442,22.5212106950807,20.2949417796922,21.9676927584134,21.1773050774828,21.0110005680608,22.2928334777224,21.9033208012309,22.2265304063674,22.7055938759714,22.0393846179127,21.7371072783575,22.8933033186343,22.1720863219589,19.0129090576606,23.672551599617,22.1362973668044,21.791668412325,21.90067976883,21.8727132792737,22.3498270333689,21.9417782140782,22.5761318239318,23.3848323613877,22.5712268697683,21.8912060930871,21.9353536529379,22.0399356716791,22.0639741519015,20.2948802708178,21.6290266815939,20.6675612666672,21.6240684930958,21.3204271371151,21.12001984699,21.113240207429,22.07281897046,22.4811839624309,21.4612656280952,22.1707760326682,22.0000082998235,21.9104995068966,21.4838882572594,23.6726301624682
eg1,22.3156566742275,21.5655882754153,22.0149929166793,22.1539380851932,22.1416674388387,22.1089395199612,22.1431435939749,22.1044834321646,0,20.4648029994004,20.3420844274582,20.5481124373531,23.1659614174835,22.664634311355,21.7615851834662,22.1285103535296,20.2708984869243,20.8012199535429,20.1719165167906,20.413299081195,22.6861233090149,20.8652579992401,20.7774444436621,21.3185071113875,21.9568255196907,21.6549169393695,21.7060698030645,21.5607711605859,18.0187736010572,23.6459670650999,21.7155521361981,21.1899206063336,21.1153891703317,21.2566023981751,20.8888303631284,21.0538464371356,22.6528754338084,23.4784634545514,22.7684108006807,22.1593107336605,22.5310460080258,22.755346553783,22.2056141385311,22.4319700413287,23.3689632864947,22.8351867529263,22.9981834513721,20.0235255342866,20.1397429871322,19.9315280614131,20.3967978862637,22.5020771216941,21.7395333895048,22.0266558335656,20.0922007400738,20.4228321732755,20.1922582805817,23.6009255964512
eg2,21.8192887794295,21.5637454646589,21.8703104709169,22.0717522366809,21.6759898657922,21.6064461825083,21.6450450255641,21.911296485534,20.4648029994004,0,20.1825907899455,20.3830885651176,23.0963863776463,22.3976945207667,21.6828645294617,21.582204661267,19.8427171404555,20.861500250403,20.2164833536172,20.2612545822393,22.6405552683768,20.775274215405,21.3417102073187,21.3533648114752,21.709147495734,21.3712941159576,21.4751037104955,21.3172189839579,18.2817686675556,23.550060471213,21.7756971286574,21.4871465494551,21.4189356507003,21.3940654279971,21.2024431003631,20.8722199161125,22.2610001247934,23.3371603139329,22.7086914902399,21.5864519051056,22.018158455705,22.2395639354841,21.9000633931282,22.6509566811714,23.550284990033,23.0693303512208,23.1110005901353,20.2332292193781,20.3797292802532,20.1158519721271,20.5554198473248,21.8770842408395,21.5327772426843,22.0927118487221,20.0019338020958,20.317836157073,20.3809167926294,23.3438871213568
