,av1,av2,bcc,bgn,bgp,bql,ckb,diq,fay,glk,gzi,hac,jdt,kfm,kiu,kmr,lrl,lsa,luz,mnj,ntz,oru,os1,os2,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,pb1,pb2,pb3,pb4,pb5,pb6,pb7,pb8,pb9,pes,prc,prs,ps1,ps2,ps3,ps4,ps5,pt1,pt2,pt3,pt4,pt5,sdh,sgh,siy,sqo,srz,tgk,tly,vaf,wb1,wb2,wb3,wb5,wne,yah,yai,ydg,zum
av1,NA,0.790878140941142,0.306352754571928,0.236713458943698,0.231937947370338,0.118619806730268,0.148523451170393,0.119177613519922,0.164280278121552,0.203665739760861,0.105619267545999,0.276448314640861,0.0753182005092924,0.21031747604081,0.134968385506558,0.128802680549715,0.236422077412671,0.163822737376318,0.2138689303449,0.0916883202276122,0.156297987060988,0.130600404328342,0.0607508293530791,0.0583053671077856,0.0941904608659667,0.123254067946356,0.134389674708073,0.125109096374522,0.13080265462628,0.149879853141786,0.160799569208148,0.128799343750382,0.122254301499249,0.110068235022544,0.11615372961002,0.137249051567941,0.107825647974631,0.0983589691735247,0.0891314210181996,0.0952045051546231,0.116831975332002,0.141013392897124,0.127952910846549,0.107897462956649,0.114336427778333,0.143905055173915,0.0919755210431152,0.104144570674689,0.158342296229574,0.169060756452104,0.117579619090758,0.101842965290941,0.125714601410512,0.104281749675305,0.120364816906761,0.106185308512936,0.0932627028148038,0.114162353030916,0.137863612737782,0.0867744729052916,0.110045384998545,0.123839828917095,0.181978784012357,0.0546454298670523,0.160490884879629,0.172485670770999,0.176506175205873,0.235254483718865,0.118727252762695,0.148331292453466,0.0541235082346483,0.0537889597534702,0.0618651708136028,0.0638003740218974,0.140788208797743,0.129836092619473,0.0798274992621814,0.108305888950425,0.2119599811493
av2,0.790878140941142,NA,0.358093492349634,0.277157961112014,0.299321789720832,0.0870153369264676,0.130301971971756,0.0927063437683044,0.14908903719454,0.195147162871037,0.105976811121323,0.27665382339441,0.039885201327608,0.220192612522125,0.0910142175601523,0.0973870419727052,0.200973666810912,0.133779161749565,0.20560633048702,0.0494461627876428,0.144845187489779,0.0938690095078055,0.0970814893620062,0.0906155179572551,0.118466008025538,0.170296809569058,0.162362398572724,0.16862997519281,0.165452248453109,0.19014126977747,0.189413996237037,0.170600364981233,0.169181718081013,0.109415634716239,0.149763646117814,0.164341710944549,0.137854311498922,0.104383178302513,0.109892089956101,0.10432070063933,0.16682685481295,0.199525665824329,0.160056216279753,0.155206832874256,0.148353113498159,0.189285427743519,0.119003729475826,0.107208518555432,0.200115830207814,0.183397160385392,0.10832771492738,0.0927712960489695,0.167994621131693,0.125291977197008,0.149371930400827,0.122676674654132,0.111226186934264,0.128143009527183,0.164536742922378,0.102695359101323,0.134527070122911,0.14673291142634,0.186615802855284,0.0616877782449908,0.174669061057011,0.140497768392786,0.142103851735063,0.227967743077171,0.124073438035624,0.162479725690157,0,0.00465338505298929,0.00328853318300049,0.0118582787331246,0.196241576265142,0.137464073260335,0.0896509455682921,0.0727410476689673,0.139047558621789
bcc,0.306352754571928,0.358093492349634,NA,0.456585478298536,0.960255304176215,0.182372438688601,0.243465314178795,0.188956702413823,0.323491453597908,0.273459321001407,0.13338564516032,0.275722352182338,0.11615393490976,0.287026502731664,0.146152197468337,0.219888669280966,0.363802146283986,0.255491065949905,0.334665488170232,0.114132786655396,0.249438738247096,0.15475136305944,0.135730961916052,0.138128670487159,0.124102125587984,0.1700247188741,0.191701574193851,0.15880645511719,0.174319103942322,0.163099233522559,0.184006951316748,0.151760356268846,0.157566894175292,0.148558169109366,0.15106903442738,0.143071052874227,0.135465666602773,0.143585428223102,0.132180065631731,0.11053524576473,0.153560343962339,0.204419291663917,0.15762074733921,0.145676507671543,0.15364527361697,0.178772245161301,0.13958279228332,0.126449687714606,0.19117940877124,0.322026890610604,0.235239015449745,0.205622770294843,0.163396797462536,0.118577831992315,0.126909211346983,0.134738905471171,0.107180146069402,0.169144533463382,0.18024232511397,0.126201419833893,0.157627381342767,0.173174819886287,0.336684733243489,0.11120385275829,0.236969724515636,0.25497482549772,0.247569019634189,0.387470131985643,0.156411200186318,0.194476566560269,0.0931518548820417,0.0978879460932616,0.0972322559437609,0.110620578813837,0.22706523859697,0.186496627780845,0.145700517553719,0.146859479899036,0.400269637438943
bgn,0.236713458943698,0.277157961112014,0.456585478298536,NA,0.448894387382457,0.185050131789267,0.20898551460593,0.186493406522959,0.344391282614293,0.271460661523251,0.264520535070462,0.289837851649637,0.123569651953079,0.360459818424631,0.157103544361877,0.190788976553784,0.321548875965701,0.230394649434015,0.264075712909177,0.117538668106309,0.259649831900583,0.145872632432082,0.128067071095475,0.12960546255635,0.123210178104456,0.138049252497945,0.166991566231483,0.13152702772891,0.136759911421756,0.145013821346974,0.143010253747237,0.139506314706607,0.139184019071907,0.120127229211365,0.132346136961702,0.149364842368595,0.122275079211291,0.110263610317414,0.0994955830592329,0.106538090731245,0.13415434986935,0.15581817862129,0.146155493768322,0.129610620166515,0.129631052741962,0.158457659860446,0.116367046354044,0.104796990364477,0.17035649805264,0.282005965992924,0.162969506286287,0.185935091271757,0.149990077052702,0.117980229096893,0.139186824936335,0.125620768207975,0.111504785472357,0.144556384154045,0.142168113896161,0.12744235647982,0.131216632730757,0.143025470994071,0.327934679412815,0.16977033295226,0.208351058378997,0.20003384843931,0.247537893291177,0.332585733343121,0.153972280444286,0.234348580268708,0.0768947779376253,0.079160479835634,0.0928446667071744,0.0916020554486886,0.188997357735418,0.179500130845006,0.135184419616935,0.127562207381349,0.26900421664412
bgp,0.231937947370338,0.299321789720832,0.960255304176215,0.448894387382457,NA,0.160220439827093,0.20792104716287,0.177644200972489,0.289217203779105,0.243203415427664,0.180358914513297,0.252509240025698,0.105596753912569,0.26569966788559,0.130537391210493,0.194053960418553,0.331777389768245,0.223529995514254,0.269859066117192,0.109966738223414,0.21979071258975,0.111362865917098,0.116523056257352,0.117158165948085,0.136969562481193,0.159054245920918,0.182202087296992,0.148543306091998,0.162759144479831,0.150364253548325,0.175032264375431,0.139041934447286,0.147409515940033,0.151762984260155,0.140838231400618,0.142567721780203,0.130830693718159,0.129199757872065,0.130297102709603,0.121290120087496,0.143296798784827,0.183092341868286,0.149069951089958,0.136223244853387,0.146791960272691,0.165991515206481,0.127621729610512,0.124832070109218,0.172487431450971,0.301519532458678,0.20560412371359,0.205056646212716,0.156865288734444,0.122792959989959,0.132314969128749,0.12928679624611,0.10866940380933,0.183030915630194,0.189363169937455,0.145609709890946,0.164758331966537,0.175735612522847,0.254758432515011,0.133292186753049,0.205343424764119,0.23246158308984,0.23270914113603,0.366694914628001,0.169482750314176,0.2240812137252,0.068395215412545,0.068009337403621,0.0743658496495889,0.0831130919385171,0.199135919694004,0.149880446116239,0.158796757008913,0.140497772503284,0.321568471492659
bql,0.118619806730268,0.0870153369264676,0.182372438688601,0.185050131789267,0.160220439827093,NA,0.21136918889715,0.17871216044616,0.341845842272123,0.212609565162236,0.277282124033185,0.117187495168829,0.19686110485315,0.270519662630828,0.150812773631673,0.156481017784153,0.318490897753187,0.282358930168176,0.418210669291707,0.160270829498971,0.278000240098124,0.10649846565359,0.0784708428774176,0.0959558747176774,0.110370809862181,0.120558782522528,0.128419238045831,0.118958461793726,0.136086125771444,0.116436960370824,0.118190018229194,0.107780523589504,0.115151329750044,0.137458050709404,0.117779309895765,0.121427048104048,0.120331224626477,0.123755808704005,0.110769183004015,0.125567306881725,0.111513684296794,0.128372716178976,0.135044339075921,0.112427213722593,0.122331600992619,0.129806358539282,0.123759093442807,0.121246704151221,0.121647379727668,0.307538008787584,0.265812781669988,0.244175546303285,0.124364502735178,0.144772456301296,0.133538266778267,0.128370829228856,0.117517675995349,0.173227702948225,0.156376932865531,0.142233908623988,0.152884446277426,0.150535388274617,0.21373528295787,0.181083972095949,0.190299259832509,0.322732707255203,0.278788737700263,0.28317473679845,0.252367431635462,0.202706932884107,0.110384346133359,0.122379590868118,0.135233305034149,0.140008319760198,0.14628316519024,0.154614352124986,0.177907341134457,0.151374349761874,0.219555598264036
ckb,0.148523451170393,0.130301971971756,0.243465314178795,0.20898551460593,0.20792104716287,0.21136918889715,NA,0.160630204129138,0.25054773052776,0.261376048469075,0.251131198410532,0.19741630898678,0.183890387389868,0.278265789450642,0.158333017278137,0.286778208182292,0.271393265395365,0.293947565332909,0.271886850926404,0.152330619145991,0.261115009068012,0.125404759830615,0.122474898505962,0.0909336098960565,0.108470161251778,0.125438636042407,0.112807643919861,0.125864849693426,0.139116307682443,0.115980204700841,0.121739631146822,0.124884246591236,0.123456370442876,0.125382236783006,0.121752258879888,0.107574183151643,0.112796324529213,0.11828324233018,0.107384435301906,0.109081731113855,0.118160941438323,0.144746571866489,0.124917337062104,0.116619262332273,0.120418506151089,0.134533178721764,0.120298208650647,0.102142229314877,0.128659287555558,0.276944933689836,0.289205072647333,0.268641879343359,0.124289260244083,0.107504316318309,0.102681478559316,0.112556020798298,0.0914864358523457,0.148597378173439,0.129056292132004,0.108152697947929,0.127090258049436,0.134180500070442,0.31117812267957,0.199704365167175,0.224204970485046,0.376416906911091,0.3312075088197,0.337033712459761,0.230254767985314,0.240483521373062,0.149085019150001,0.152950757115502,0.176827867226538,0.17175091298868,0.141813039174531,0.144462645364874,0.181362581036721,0.157040378765217,0.240580297514332
diq,0.119177613519922,0.0927063437683044,0.188956702413823,0.186493406522959,0.177644200972489,0.17871216044616,0.160630204129138,NA,0.195753278061589,0.282833442967615,0.204808718356725,0.16241050672925,0.2174666998406,0.210262934869899,0.235003359568463,0.213440861620058,0.171692344972657,0.243961462792796,0.226193231251795,0.148143542017409,0.218375849054669,0.13101483735673,0.0762002347255354,0.0980707113714749,0.0753994837489944,0.102432340415756,0.0773042447065782,0.109876006616324,0.118927539358715,0.0769044478156918,0.0886437787383637,0.0813067788808652,0.0992543307572817,0.126112221592768,0.0946888645195934,0.0798349334778774,0.0837142088491403,0.093217944368336,0.0633783211840286,0.0866717901278559,0.102731893120873,0.110958512628352,0.0945555581715024,0.0971479992430115,0.0858708609707862,0.121923490939856,0.0925875205572337,0.117767461571311,0.121094943604616,0.235449895013726,0.210562198396222,0.217207197378962,0.0930719435602833,0.0908139442917443,0.0930557460551804,0.0826929626342094,0.0714886852891226,0.134059272210012,0.122096510598554,0.109397056182499,0.136239506560877,0.125797312872264,0.18865859149282,0.122856869916739,0.180243932427442,0.25848540350215,0.197202287744514,0.226331073198835,0.181454272853226,0.186421025827889,0.129648380056859,0.133890650752813,0.136224321551582,0.136163653217916,0.116070614854494,0.118249307783497,0.173590283382375,0.127275858072403,0.218631828166574
fay,0.164280278121552,0.14908903719454,0.323491453597908,0.344391282614293,0.289217203779105,0.341845842272123,0.25054773052776,0.195753278061589,NA,0.236569835766227,0.341822171795818,0.206893582714734,0.183385594752245,0.451068382231716,0.186798377189128,0.171102286517491,0.354709210010494,0.290333890038978,0.342993403984405,0.17971499050101,0.357559037008734,0.12875428667164,0.134230616547833,0.133218133310664,0.135355531600118,0.15299853631633,0.156764689504349,0.155073570734462,0.176294099342481,0.147298991332824,0.157594072072344,0.141021412413288,0.150375242292029,0.160663076853638,0.160639471942878,0.14060465430368,0.146984120368121,0.152192549150822,0.134243300782669,0.144344550983819,0.146380064903084,0.167174844781825,0.155080641013362,0.145742621705364,0.147665951491736,0.166285407465393,0.142935364906461,0.133165624152076,0.156251547097606,0.309325856565705,0.264372873888463,0.246574741757595,0.137021417435002,0.146487224819618,0.160819788082052,0.14515641322581,0.134586895631877,0.182857259831695,0.171594428729413,0.14773201898958,0.16804280361181,0.176137706624097,0.277663589770912,0.186856534260863,0.241617031870966,0.35434553247087,0.332463011993525,0.35894145413475,0.255042054795455,0.223422344777454,0.129407424861961,0.128009385682736,0.154568130297688,0.148110413863762,0.186493730034996,0.161599039733762,0.209297695778847,0.168003740512042,0.289150195070922
glk,0.203665739760861,0.195147162871037,0.273459321001407,0.271460661523251,0.243203415427664,0.212609565162236,0.261376048469075,0.282833442967615,0.236569835766227,NA,0.375614588488663,0.204986666663788,0.301089290976222,0.348949357741866,0.282860908580007,0.264969132576989,0.356347366043933,0.534098551706909,0.319121057622238,0.122139834896219,0.514809545178604,0.170232668629237,0.154778426173231,0.183722859408035,0.117204494630207,0.147527640320886,0.125330126447417,0.138790227329901,0.154094372538747,0.134280583991543,0.13287183682266,0.13230990013647,0.129122559588377,0.118133327189216,0.127296979986238,0.135442887419457,0.122005671063635,0.117099887496015,0.0963039160261788,0.113005392812622,0.130880097846425,0.136948986056413,0.142283450294615,0.125431099504476,0.12362782926844,0.144342849354912,0.117361973278452,0.124205770223057,0.154317390980393,0.417635850494987,0.225513910259491,0.458782903198833,0.117961226106188,0.111565030774803,0.126488319560439,0.126779574602936,0.103988618814379,0.141749910561656,0.144726662458941,0.115285547180874,0.132335140711032,0.130305863307207,0.320347185811409,0.212540514303263,0.224785348421039,0.435877138098864,0.436741225205961,0.437272011722395,0.24287466081462,0.371075856259899,0.092744994750359,0.0918404140773627,0.100485571536373,0.103311318117375,0.149181339803638,0.157567436633258,0.27358688847975,0.12066537906574,0.271897027003506
