L1,L2,Score_distance
fra,rup,1.0
rup,fra,1.0
rup,win,0.991250686227332
win,rup,0.991250686227332
pcd,rup,0.989353372688087
rup,pcd,0.989353372688087
pcd,ruo,0.987371197306023
ruo,pcd,0.987371197306023
ruo,win,0.982129195229326
win,ruo,0.982129195229325
qbb,win,0.97303484451939
win,qbb,0.97303484451939
fra,ruo,0.970088012285536
ruo,fra,0.970088012285536
pcd,ruq,0.962291680470541
ruq,pcd,0.962291680470541
ruq,pr2,0.961293072096053
pr2,ruq,0.961293072096052
ruq,win,0.96046543818089
win,ruq,0.96046543818089
rup,pr2,0.95429536357052
pr2,rup,0.954295363570518
lat,win,0.951652178085861
win,lat,0.95165217808586
ruo,pr2,0.950193585065697
pr2,ruo,0.950193585065697
por,win,0.949249898471802
win,por,0.9492498984718
ruo,fro,0.947258990767451
fro,ruo,0.947258990767451
pcd,qbb,0.943539587499511
qbb,pcd,0.943539587499511
lat,pcd,0.935572738800002
pcd,lat,0.935572738800001
ruo,ca3,0.934965015346627
ca3,ruo,0.934965015346626
lm1,rup,0.931984833211748
rup,lm1,0.931984833211747
qbb,ruo,0.930839140290592
ruo,qbb,0.930839140290591
pcd,ron,0.929883946750993
ron,pcd,0.929883946750993
qbb,fra,0.929418549406261
fra,qbb,0.929418549406258
ruo,lm1,0.926513693497853
lm1,ruo,0.926513693497852
ruo,pr1,0.92524906510412
pr1,ruo,0.925249065104119
ron,fra,0.925188321581552
fra,ron,0.92518832158155
sro,win,0.923759490341152
win,sro,0.923759490341151
qbb,pr2,0.923656320137687
pr2,qbb,0.923656320137685
ruo,ast,0.918079173146761
ast,ruo,0.918079173146759
ron,pr2,0.917908332843843
pr2,ron,0.917908332843842
ruq,fra,0.917474900909853
fra,ruq,0.917474900909851
spa,win,0.917445528075467
win,spa,0.917445528075467
rup,pr1,0.915534786193593
pr1,rup,0.915534786193592
ruo,ca1,0.915385032930656
ca1,ruo,0.915385032930653
ruo,ro3,0.914628138320816
ro3,ruo,0.914628138320813
ruo,ca2,0.913259350885232
ca2,ruo,0.913259350885231
ruo,ca5,0.912652682544613
ca5,ruo,0.912652682544612
li3,ruo,0.911875651458156
ruo,li3,0.911875651458155
sro,fra,0.911838360468966
fra,sro,0.911838360468962
win,lm1,0.910514457757239
lm1,win,0.910514457757239
pcd,lm1,0.908512905528176
lm1,pcd,0.908512905528174
ruo,por,0.907867890399041
por,ruo,0.90786789039904
ruo,pm5,0.907649001849315
pm5,ruo,0.907649001849312
ruo,ca6,0.906625838509693
ca6,ruo,0.906625838509692
ruo,spa,0.906588921902324
spa,ruo,0.906588921902322
ll2,rup,0.906328450661391
rup,ll2,0.906328450661385
ron,win,0.905415436643175
win,ron,0.905415436643173
pcd,sro,0.904771741693815
sro,pcd,0.904771741693814
ruo,ca4,0.904473471650402
ca4,ruo,0.904473471650401
lat,pr2,0.904470050238458
pr2,lat,0.904470050238455
qbb,lm1,0.903534349881431
lm1,qbb,0.903534349881428
sc4,win,0.903478822425886
win,sc4,0.903478822425883
ruo,sc4,0.903313250343792
sc4,ruo,0.903313250343791
pm1,ruo,0.903039389543692
ruo,pm1,0.903039389543692
ll1,ruo,0.902679152048316
ruo,ll1,0.902679152048316
pcd,ll1,0.902275193764498
ll1,pcd,0.902275193764496
ruo,ll2,0.901891192562764
ll2,ruo,0.901891192562763
pcd,spa,0.900792395377395
spa,pcd,0.900792395377393
rup,pm5,0.899832346116646
pm5,rup,0.899832346116641
pr2,sro,0.899799507995241
sro,pr2,0.899799507995241
ruq,li3,0.899338317863757
li3,ruq,0.899338317863755
sc1,fra,0.898493323463535
fra,sc1,0.898493323463528
lat,lm1,0.897513802728589
lm1,lat,0.897513802728587
ruq,ll1,0.897421595536245
ll1,ruq,0.897421595536243
ll1,rup,0.896353037493251
rup,ll1,0.896353037493247
ruo,pm4,0.896120885399895
pcd,src,0.895850288326132
src,pcd,0.895850288326132
lat,fra,0.895010514209109
fra,lat,0.895010514209105
lm1,ruq,0.895000405866484
ruq,lm1,0.895000405866484
pm4,ruo,0.894950128736035
