L1_L2,Score
fra_rup,0.001313672846236
rup_fra,0.001313672846237
rup_win,0.09978655027396
win_rup,0.09978655027396
pcd_rup,0.121140673402527
rup_pcd,0.121140673402527
pcd_ruo,0.143449910276397
ruo_pcd,0.143449910276398
ruo_win,0.202448254762228
win_ruo,0.20244825476223
qbb_win,0.304804497321704
win_qbb,0.304804497321709
fra_ruo,0.337970875497662
ruo_fra,0.337970875497664
pcd_ruq,0.425718011690466
ruq_pcd,0.42571801169047
ruq_pr2,0.436957274861766
pr2_ruq,0.436957274861773
ruq_win,0.446272233177399
win_ruq,0.446272233177399
rup_pr2,0.515715965178985
pr2_rup,0.515715965179002
lat_win,0.545464821719328
win_lat,0.545464821719342
ruo_pr2,0.561881177952908
pr2_ruo,0.561881177952912
por_win,0.572502300558102
win_por,0.572502300558133
ruo_fro,0.594909819071491
fro_ruo,0.594909819071495
pcd_qbb,0.636771426921506
qbb_pcd,0.636771426921506
lat_pcd,0.726437717999409
pcd_lat,0.72643771799942
ruo_ca3,0.733277600382076
ca3_ruo,0.733277600382092
lm1_rup,0.766819329219946
rup_lm1,0.76681932921996
qbb_ruo,0.779714018052259
ruo_qbb,0.779714018052266
pcd_ron,0.79046465047768
ron_pcd,0.79046465047768
qbb_fra,0.7957026630663
fra_qbb,0.795702663066334
ruo_lm1,0.828396600813448
lm1_ruo,0.828396600813454
ruo_pr1,0.842629899566171
pr1_ruo,0.842629899566183
ron_fra,0.843313563406303
fra_ron,0.843313563406326
sro_win,0.859394953016579
win_sro,0.859394953016587
qbb_pr2,0.860556126002709
pr2_qbb,0.860556126002735
ruo_ast,0.923326501634849
ast_ruo,0.923326501634869
ron_pr2,0.925249296570097
pr2_ron,0.925249296570111
ruq_fra,0.930127540832218
fra_ruq,0.930127540832249
spa_win,0.930458129904162
win_spa,0.930458129904162
rup_pr1,0.951963388032814
pr1_rup,0.951963388032821
ruo_ca1,0.953648849897456
ca1_ruo,0.953648849897487
ruo_ro3,0.96216764257961
ro3_ruo,0.96216764257964
ruo_ca2,0.977573243621135
ca2_ruo,0.977573243621149
ruo_ca5,0.984401250788019
ca5_ruo,0.984401250788026
li3_ruo,0.993146678020637
ruo_li3,0.993146678020644
sro_fra,0.993566385337471
fra_sro,0.993566385337507
win_lm1,1.00846681214184
lm1_win,1.00846681214184
pcd_lm1,1.03099413399117
lm1_pcd,1.03099413399119
ruo_por,1.03825373141797
por_ruo,1.03825373141799
ruo_pm5,1.0407173058065
pm5_ruo,1.04071730580653
ruo_ca6,1.05223293328872
ca6_ruo,1.05223293328873
ruo_spa,1.05264842696593
spa_ruo,1.05264842696596
ll2_rup,1.05558001145911
rup_ll2,1.05558001145917
ron_win,1.06585591650053
win_ron,1.06585591650055
pcd_sro,1.07310065540191
sro_pcd,1.07310065540192
ruo_ca4,1.07645766261282
ca4_ruo,1.07645766261283
lat_pr2,1.07649617035042
pr2_lat,1.07649617035046
qbb_lm1,1.08702740845214
lm1_qbb,1.08702740845217
sc4_win,1.0876523658449
win_sc4,1.08765236584493
ruo_sc4,1.0895158673456
sc4_ruo,1.08951586734561
pm1_ruo,1.09259815033386
ruo_pm1,1.09259815033386
ll1_ruo,1.09665259661945
ruo_ll1,1.09665259661945
pcd_ll1,1.10119911713545
ll1_pcd,1.10119911713547
ruo_ll2,1.10552102217314
ll2_ruo,1.10552102217315
pcd_spa,1.11788790297822
spa_pcd,1.11788790297824
rup_pm5,1.12869318618495
pm5_rup,1.12869318618501
pr2_sro,1.12906277680521
sro_pr2,1.12906277680521
ruq_li3,1.13425343752084
li3_ruq,1.13425343752086
sc1_fra,1.1437637868079
fra_sc1,1.14376378680798
lat_lm1,1.1547882200122
lm1_lat,1.15478822001223
ruq_ll1,1.15582600512148
ll1_ruq,1.1558260051215
ll1_rup,1.16785254662247
rup_ll1,1.16785254662251
ruo_pm4,1.17046540121057
pcd_src,1.17351095120104
src_pcd,1.17351095120104
lat_fra,1.18296254658797
fra_lat,1.18296254658802
lm1_ruq,1.18307631523431
ruq_lm1,1.18307631523431
pm4_ruo,1.18364218060761
sc2_win,1.1904045589188
win_sc2,1.19040455891882
win_sc1,1.19329705393935
sc1_win,1.19329705393938
lat_ruo,1.19719324057329
ruo_lat,1.1971932405733
ruo_ro2,1.20578352087855
ro2_ruo,1.20578352087857
pm3_ruo,1.20908228250826
ruo_pm3,1.20908228250826
rup_ro3,1.2143411129033
ro3_rup,1.21434111290332
itf_win,1.21659566734091
win_itf,1.21659566734093
ast_win,1.2179345995274
win_ast,1.21793459952742
glg_win,1.22300031448782
win_glg,1.22300031448785
rup_ro2,1.22322537469956
ro2_rup,1.22322537469957
rup_li3,1.22797396533612
li3_rup,1.22797396533614
ll1_win,1.23113146141138
win_ll1,1.23113146141139
pcd_ll2,1.24001648898016
ll2_pcd,1.24001648898017
li2_win,1.24222613940794
win_li2,1.24222613940795
ruo_ro4,1.24969787837185
ro4_ruo,1.24969787837189
pcd_li2,1.25014009444744
li2_pcd,1.25014009444747
lm1_ron,1.2538471401149
ron_lm1,1.2538471401149
src_win,1.25606687253242
win_src,1.25606687253245
ruo_ro1,1.26336890208108
ro1_ruo,1.26336890208112
eg4_ruo,1.26388406551057
ruo_eg4,1.26388406551057
pcd_por,1.27931945974404
por_pcd,1.27931945974407
ruo_pm2,1.28727179316647
pm2_ruo,1.28727179316648
sc4_rup,1.2899879997534
rup_sc4,1.28998799975342
pcd_ca3,1.31003741699235
ca3_pcd,1.31003741699239
pcd_lm2,1.31189844607997
lm2_pcd,1.31189844607999
lm2_ruo,1.31357037218775
ruo_lm2,1.31357037218775
pcd_ast,1.32055367431179
ast_pcd,1.3205536743118
pcd_fur,1.32357320788967
fur_pcd,1.3235732078897
dlm_win,1.32736983753178
win_dlm,1.32736983753181
